BENSAMPID,StationID,RefStress,RepNum,CollectionDate,Gradient,Season,BioRegion,AMPHPIND,AMPHPTAX,CHIRPIND,CHIRPTAX,CRUSPIND,CRUSPTAX,DIPTPIND,DIPTPTAX,EPHEPIND,EPHEPTAX,EPOTPIND,EPOTPTAX,EPT_PIND,EPT_PTAX,HEMIPIND,HEMIPTAX,MITEPIND,MITEPTAX,MOLLPIND,MOLLPTAX,NOINPIND,NOINPTAX,ODONPIND,ODONPTAX,OLLEPIND,OLLEPTAX,PLECPIND,PLECPTAX,TRICPIND,TRICPTAX,%Ephem,%PT - Hydropsychidae,%Chiro,%EPT-H+C,%Ephem-B,%EPT45,%EPT65,gregTol_%Ephem,gregTol_%PT - Hydropsychidae,gregTol_%Chiro,gregTol_%EPT-H+C,gregTol_%Ephem-B,gregTol_%EPT45,gregTol_%EPT65,TOTLNTAX,AMPHNTAX,CHIRNTAX,CRUSNTAX,DIPTNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,HEMINTAX,MITENTAX,MOLLNTAX,NOINNTAX,ODONNTAX,OLLENTAX,PLECNTAX,TRICNTAX,Genus Total Taxa,Genus EPT Taxa,Elmid,gregTol_Genus Total Taxa,gregTol_Genus EPT Taxa,gregTol_Elmid,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,gregTol_FACLNTAX,gregTol_FACLPIND,gregTol_FACLPTAX,gregTol_INTLNTAX,gregTol_INTLPIND,gregTol_INTLPTAX,gregTol_NTOLNTAX,gregTol_NTOLPIND,gregTol_NTOLPTAX,gregTol_STOLNTAX,gregTol_STOLPIND,gregTol_STOLPTAX,gregTol_TL01NTAX,gregTol_TL01PIND,gregTol_TL01PTAX,gregTol_TL23NTAX,gregTol_TL23PIND,gregTol_TL23PTAX,gregTol_TL45NTAX,gregTol_TL45PIND,gregTol_TL45PTAX,gregTol_TL67NTAX,gregTol_TL67PIND,gregTol_TL67PTAX,gregTol_TOLRNTAX,gregTol_TOLRPIND,gregTol_TOLRPTAX,gregTol_WTD_TV,Genus HBI,BCGatt2&3,%BCGatt2&3,BCGatt5,%BCGatt5,%BCG_DO_att2&3,%BCG_DO_att5,%BCG_Acidity_att2&3,%BCG_Acidity_att5,%BCG_Alkalinity_att2&3,%BCG_Alkalinity_att5,%BCG_spCond_att2&3,%BCG_spCond_att5,%BCG_Chloride_att2&3,%BCG_Chloride_att5,%BCG_Sulfate_att2&3,%BCG_Sulfate_att5,%BCG_TNTP_att2&3,%BCG_TNTP_att5,%BCG_totHab_att2&3,%BCG_totHab_att5,%BCG_RBS_att2&3,%BCG_RBS_att5,%BCG_pctIMP_att2&3,%BCG_pctIMP_att5,gregTol_Genus HBI,gregTol_BCGatt2&3,gregTol_%BCGatt2&3,gregTol_BCGatt5,gregTol_%BCGatt5,gregTol_%BCG_DO_att2&3,gregTol_%BCG_DO_att5,gregTol_%BCG_Acidity_att2&3,gregTol_%BCG_Acidity_att5,gregTol_%BCG_Alkalinity_att2&3,gregTol_%BCG_Alkalinity_att5,gregTol_%BCG_spCond_att2&3,gregTol_%BCG_spCond_att5,gregTol_%BCG_Chloride_att2&3,gregTol_%BCG_Chloride_att5,gregTol_%BCG_Sulfate_att2&3,gregTol_%BCG_Sulfate_att5,gregTol_%BCG_TNTP_att2&3,gregTol_%BCG_TNTP_att5,gregTol_%BCG_totHab_att2&3,gregTol_%BCG_totHab_att5,gregTol_%BCG_RBS_att2&3,gregTol_%BCG_RBS_att5,gregTol_%BCG_pctIMP_att2&3,gregTol_%BCG_pctIMP_att5,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,Genus %2 Dominant,gregTol_Genus %2 Dominant,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,%Clinger-HS,gregTol_%Clinger-HS,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,%Collector,%GenusScraper,gregTol_%Collector,gregTol_%GenusScraper
CHO56R200,1ACHO003.47,NA,1,4/30/2009,MACS,Spring,Coast,6.72,4.35,18.49,4.35,6.72,4.35,48.74,17.39,5.88,8.7,28.57,52.17,25.21,39.13,0,0,0,0,0,0,10.92,8.7,3.36,13.04,4.2,4.35,15.97,17.39,3.36,13.04,5.882352941,17.64705882,18.48739496,21.8487395,5.882352941,4.347826087,30.43478261,5.882352941,17.64705882,18.48739496,21.8487395,5.882352941,8.695652174,30.43478261,23,1,1,1,4,2,12,9,0,0,0,2,3,1,4,3,23,9,3,23,9,3,14,52.1,60.87,1,2.52,4.35,11,32.77,47.83,3,6.72,13.04,0,0,0,1,2.52,4.35,10,30.25,43.48,8,53.78,34.78,7,38.66,30.43,5.83,14,52.1,60.87,1,2.52,4.35,11,32.77,47.83,3,6.72,13.04,0,0,0,1,2.52,4.35,10,30.25,43.48,8,53.78,34.78,7,38.66,30.43,5.83,6.273272727,3,17.64705882,2,11.76470588,26.66666667,0,13.33333333,0,46.66666667,0,26.66666667,20,46.66666667,6.666666667,13.33333333,6.666666667,6.666666667,26.66666667,20,20,7.142857143,7.142857143,13.33333333,40,6.268363636,3,17.64705882,2,11.76470588,26.66666667,0,13.33333333,0,46.66666667,0,26.66666667,20,46.66666667,6.666666667,13.33333333,6.666666667,6.666666667,26.66666667,20,20,7.142857143,7.142857143,13.33333333,40,2.48,27.12,53.39,66.95,100,100,100,45.37815126,45.37815126,2,3.36,8.7,2,2.52,8.7,12,53.78,52.17,2,7.56,8.7,2,7.56,8.7,25.21008403,25.21008403,4,30.25,17.39,3,3.36,13.04,5,16.81,21.74,6,11.76,26.09,2,3.36,8.7,4,18.49,17.39,47.05882353,3.361344538,47.05882353,3.361344538
CHO127R200,1ACHO003.47,NA,1,10/8/2009,MACS,Fall,Coast,0.55,3.45,6.04,3.45,0.55,3.45,35.71,10.34,2.2,6.9,46.7,44.83,35.16,24.14,0,0,0.55,3.45,7.14,17.24,8.24,24.14,11.54,20.69,0,0,0,0,32.97,17.24,2.197802198,15.38461538,6.043956044,4.395604396,2.197802198,3.448275862,20.68965517,2.197802198,15.38461538,6.043956044,4.395604396,2.197802198,3.333333333,20,29,1,1,1,3,2,13,7,0,1,5,7,6,0,0,5,29,7,2,29,7,2,20,33.52,68.97,0,0,0,14,22.53,48.28,5,15.38,17.24,0,0,0,0,0,0,14,22.53,48.28,8,57.69,27.59,7,62.09,24.14,6.57,20,36.81,68.97,0,0,0,14,22.53,48.28,5,15.38,17.24,0,0,0,1,1.65,3.45,13,20.88,44.83,8,60.99,27.59,7,62.09,24.14,6.79,7.006708075,5,21.73913043,4,17.39130435,15,10,25,0,55,5,25,20,35,5,35,5,0,33.33333333,5,20,6.25,6.25,26.31578947,31.57894737,6.954658385,5,21.73913043,4,17.39130435,15,10,25,0,55,5,25,20,35,5,35,5,0,33.33333333,5,20,6.25,6.25,26.31578947,31.57894737,2.46,30.67,58.9,71.17,100,100,100,45.05494505,45.05494505,4,6.04,13.79,6,6.59,20.69,10,68.13,34.48,3,4.95,10.34,2,1.1,6.9,23.07692308,23.07692308,5,61.54,17.24,2,30.77,6.9,5,3.85,17.24,10,12.09,34.48,4,4.95,13.79,3,7.69,10.34,65.38461538,4.945054945,65.38461538,4.945054945
CON1769_R200,1ACON002.88,Ref,1,2/20/2004,MACS,Spring,Coast,3.5,4.55,37,4.55,6,9.09,62.5,22.73,22,27.27,26,50,26,50,0,0,0,0,0,0,9,13.64,0,0,3,4.55,1,4.55,3,18.18,22,4,37,25.5,14,17.39130435,52.17391304,22,4,37,25.5,14,17.39130435,52.17391304,22,1,1,2,5,6,11,11,0,0,0,3,0,1,1,4,22,11,2,22,11,2,18,90.5,81.82,0,0,0,14,42,63.64,1,3,4.55,0,0,0,0,0,0,14,42,63.64,7,55,31.82,4,9.5,18.18,5.98,18,90.5,81.82,0,0,0,14,42,63.64,1,3,4.55,0,0,0,1,1,4.55,13,41,59.09,7,55,31.82,4,9.5,18.18,5.97,5.986733668,5,35.71428571,3,21.42857143,21.42857143,14.28571429,0,7.142857143,57.14285714,0,57.14285714,21.42857143,64.28571429,0,42.85714286,14.28571429,8.333333333,8.333333333,7.142857143,21.42857143,0,27.27272727,50,14.28571429,5.974371859,5,35.71428571,3,21.42857143,21.42857143,14.28571429,0,7.142857143,57.14285714,0,57.14285714,21.42857143,64.28571429,0,42.85714286,14.28571429,8.333333333,8.333333333,7.142857143,21.42857143,0,27.27272727,50,14.28571429,2.06,37.19,69.35,78.89,100,100,100,61,61,2,1,9.09,1,0.5,4.55,8,35,36.36,4,4.5,18.18,5,19,22.73,11,11,1,24,4.55,0,0,0,9,26.5,40.91,4,2.5,18.18,3,7.5,13.64,3,2,13.64,50.5,7.5,50.5,7.5
CON1806_R200,1ACON002.88,Ref,1,2/20/2004,MACS,Spring,Coast,3,4.76,36.5,4.76,5,9.52,61,19.05,24.5,28.57,28,52.38,28,52.38,0,0,0,0,0,0,8.5,14.29,0,0,3.5,4.76,1,4.76,2.5,19.05,24.5,3.5,36.5,27,15.5,14.28571429,52.38095238,24.5,3.5,36.5,27,15.5,14.28571429,52.38095238,21,1,1,2,4,6,11,11,0,0,0,3,0,1,1,4,21,11,2,21,11,2,17,91,80.95,0,0,0,13,41.5,61.9,1,3.5,4.76,0,0,0,0,0,0,13,41.5,61.9,7,55,33.33,4,9,19.05,5.99,17,91,80.95,0,0,0,13,41.5,61.9,1,3.5,4.76,0,0,0,1,0.5,4.76,12,41,57.14,7,55,33.33,4,9,19.05,5.97,5.9852,5,35.71428571,3,21.42857143,14.28571429,14.28571429,0,7.142857143,57.14285714,0,57.14285714,21.42857143,64.28571429,0,42.85714286,14.28571429,8.333333333,8.333333333,7.142857143,21.42857143,0,27.27272727,50,14.28571429,5.9721,5,35.71428571,3,21.42857143,14.28571429,14.28571429,0,7.142857143,57.14285714,0,57.14285714,21.42857143,64.28571429,0,42.85714286,14.28571429,8.333333333,8.333333333,7.142857143,21.42857143,0,27.27272727,50,14.28571429,2.05,36.5,69,80,100,100,100,60,60,1,0.5,4.76,1,0.5,4.76,8,34.5,38.1,4,4,19.05,5,20.5,23.81,11,11,1,23.5,4.76,0,0,0,9,28,42.86,4,2.5,19.05,3,7.5,14.29,3,2,14.29,51.5,7.5,51.5,7.5
CON1137,1ACON002.88,Ref,1,4/5/2010,MACS,Spring,Coast,2.76,4.35,48.39,4.35,10.14,8.7,58.99,8.7,11.52,21.74,15.67,52.17,15.21,47.83,0,0,0,0,0.46,4.35,11.06,17.39,0.46,4.35,0.46,4.35,0,0,3.69,26.09,11.52073733,3.225806452,48.38709677,13.3640553,10.59907834,16.66666667,41.66666667,11.52073733,3.225806452,48.38709677,13.3640553,10.59907834,16.66666667,41.66666667,23,1,1,2,2,5,12,11,0,0,1,4,1,1,0,6,23,11,4,23,11,4,15,76.5,65.22,1,1.84,4.35,12,23.5,52.17,3,1.38,13.04,0,0,0,1,1.84,4.35,11,21.66,47.83,8,75.12,34.78,7,21.66,30.43,6.26,15,76.5,65.22,1,1.84,4.35,12,23.5,52.17,3,1.38,13.04,1,1.84,4.35,1,0.46,4.35,10,21.2,43.48,8,75.12,34.78,7,21.66,30.43,6.24,6.273813953,5,29.41176471,3,17.64705882,17.64705882,17.64705882,29.41176471,5.882352941,58.82352941,0,47.05882353,17.64705882,58.82352941,5.882352941,41.17647059,5.882352941,18.75,25,23.52941176,23.52941176,6.25,12.5,35.29411765,23.52941176,6.251860465,5,29.41176471,3,17.64705882,17.64705882,17.64705882,29.41176471,5.882352941,58.82352941,0,47.05882353,17.64705882,58.82352941,5.882352941,41.17647059,5.882352941,18.75,25,23.52941176,23.52941176,6.25,12.5,35.29411765,23.52941176,1.98,48.84,66.98,80,100,100,100,58.98617512,58.98617512,0,0,0,4,2.3,17.39,11,35.02,47.83,1,7.37,4.35,4,5.99,17.39,23.96313364,23.96313364,3,11.52,13.04,2,0.92,8.7,10,24.88,43.48,1,0.46,4.35,5,12.9,21.74,3,1.84,13.04,36.40552995,12.90322581,36.40552995,12.90322581
CON1513,1ACON002.88,Ref,1,11/22/2010,MACS,Fall,Coast,0.99,3.57,41.09,3.57,2.48,7.14,41.58,7.14,29.21,17.86,39.6,50,38.12,42.86,0,0,0,0,6.93,10.71,10.4,21.43,1.49,7.14,0.99,3.57,1.98,7.14,6.93,17.86,29.20792079,8.910891089,41.08910891,23.76237624,28.21782178,18.18181818,42.42424242,29.20792079,8.910891089,41.08910891,23.76237624,28.21782178,18.18181818,42.42424242,28,1,1,2,2,5,14,12,0,0,3,6,2,1,2,5,28,12,4,28,12,4,24,94.06,85.71,0,0,0,17,49.01,60.71,2,3.96,7.14,0,0,0,0,0,0,17,49.01,60.71,9,47.03,32.14,4,5.94,14.29,5.82,24,94.06,85.71,0,0,0,17,49.01,60.71,2,3.96,7.14,0,0,0,1,3.96,3.57,16,45.05,57.14,9,47.03,32.14,4,5.94,14.29,5.81,5.9925,5,22.72727273,3,13.63636364,23.80952381,14.28571429,28.57142857,4.761904762,61.9047619,0,38.0952381,14.28571429,42.85714286,0,33.33333333,0,20,10,19.04761905,14.28571429,0,9.523809524,38.0952381,19.04761905,5.999090909,5,22.72727273,3,13.63636364,23.80952381,14.28571429,28.57142857,4.761904762,61.9047619,0,38.0952381,14.28571429,42.85714286,0,33.33333333,0,20,10,19.04761905,14.28571429,0,9.523809524,38.0952381,19.04761905,2.18,47.16,64.77,72.73,100,100,100,51.48514851,51.48514851,2,1.49,7.14,4,2.48,14.29,13,32.67,46.43,2,6.44,7.14,4,12.87,14.29,32.67326733,32.67326733,2,7.92,7.14,1,2.97,3.57,11,25.25,39.29,5,2.97,17.86,5,19.31,17.86,4,3.47,14.29,33.16831683,19.30693069,33.16831683,19.30693069
COW3332,1ACOW000.38,Int,1,4/30/2012,MACS,Spring,Coast,7.44,5.26,29.3,5.26,11.16,10.53,59.07,26.32,0,0,26.51,52.63,23.72,42.11,0,0,0,0,0.93,5.26,14.42,21.05,2.79,10.53,2.33,5.26,21.4,26.32,2.33,15.79,0,23.72093023,29.30232558,20.93023256,0,4.347826087,47.82608696,0,23.72093023,29.30232558,20.93023256,0,8.695652174,47.82608696,19,1,1,2,5,0,10,8,0,0,1,4,2,1,5,3,19,8,0,19,8,0,14,63.72,73.68,0,0,0,11,16.74,57.89,2,3.72,10.53,0,0,0,0,0,0,11,16.74,57.89,6,79.53,31.58,5,36.28,26.32,6.41,14,63.72,73.68,0,0,0,11,16.74,57.89,2,3.72,10.53,0,0,0,0,0,0,11,16.74,57.89,6,79.53,31.58,5,36.28,26.32,6.41,6.43115942,7,50,2,14.28571429,50,7.142857143,7.142857143,14.28571429,78.57142857,0,42.85714286,7.142857143,64.28571429,7.142857143,0,14.28571429,14.28571429,21.42857143,50,21.42857143,7.692307692,15.38461538,42.85714286,14.28571429,6.429710145,7,50,2,14.28571429,50,7.142857143,7.142857143,14.28571429,78.57142857,0,42.85714286,7.142857143,64.28571429,7.142857143,0,14.28571429,14.28571429,21.42857143,50,21.42857143,7.692307692,15.38461538,42.85714286,14.28571429,2.16,30.43,60.39,77.78,100,100,100,44.18604651,44.18604651,2,15.35,10.53,3,3.26,15.79,5,17.67,26.32,6,24.19,31.58,1,7.44,5.26,3.720930233,3.720930233,2,14.88,10.53,0,0,0,3,13.49,15.79,7,20.47,36.84,1,0.93,5.26,4,20,21.05,28.37209302,0.930232558,28.37209302,0.930232558
COW4012,1ACOW000.38,Int,1,10/10/2012,MACS,Fall,Coast,6.49,4.17,18.38,4.17,7.03,8.33,37.84,25,4.86,12.5,25.41,41.67,18.92,33.33,0,0,0,0,10.27,4.17,34.05,16.67,6.49,8.33,16.76,4.17,2.16,8.33,11.89,12.5,4.864864865,14.05405405,18.37837838,10.27027027,3.783783784,8,36,4.864864865,14.05405405,18.37837838,10.27027027,3.783783784,8,36,24,1,1,2,6,3,10,8,0,0,1,4,2,1,2,3,24,8,0,24,8,0,16,56.22,66.67,0,0,0,12,35.14,50,3,20,12.5,0,0,0,0,0,0,12,35.14,50,6,36.22,25,5,35.14,20.83,6.05,16,56.22,66.67,0,0,0,12,35.14,50,3,20,12.5,0,0,0,0,0,0,12,35.14,50,6,36.22,25,5,35.14,20.83,6.05,6.619398496,5,31.25,3,18.75,38.46153846,7.692307692,15.38461538,7.692307692,61.53846154,0,23.07692308,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0,23.07692308,23.07692308,23.07692308,0,20,69.23076923,15.38461538,6.617894737,5,31.25,3,18.75,38.46153846,7.692307692,15.38461538,7.692307692,61.53846154,0,23.07692308,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0,23.07692308,23.07692308,23.07692308,0,20,69.23076923,15.38461538,2.45,22.97,56.76,72.97,100,100,100,35.13513514,35.13513514,4,21.08,16.67,4,5.95,16.67,5,11.35,20.83,5,14.05,20.83,3,8.65,12.5,10.27027027,10.27027027,2,11.35,8.33,0,0,0,8,30.27,33.33,8,12.43,33.33,1,6.49,4.17,4,20.54,16.67,41.62162162,6.486486486,41.62162162,6.486486486
FOU7147,1AFOU002.06,Str,1,4/15/2015,Riffle,Spring,Coast,0.55,11.11,83.61,11.11,0.55,11.11,85.79,22.22,0,0,10.38,44.44,9.84,33.33,0,0,0,0,1.09,11.11,3.83,33.33,0.55,11.11,2.19,11.11,0,0,9.84,33.33,0,6.557377049,83.60655738,0.546448087,0,0,0,0,6.557377049,83.60655738,0.546448087,0,0,0,9,1,1,1,2,0,4,3,0,0,1,3,1,1,0,3,9,3,0,9,3,0,1,83.61,11.11,0,0,0,0,0,0,4,9.84,44.44,0,0,0,0,0,0,0,0,0,5,90.16,55.56,8,16.39,88.89,6.69,1,83.61,11.11,0,0,0,0,0,0,4,9.84,44.44,0,0,0,0,0,0,0,0,0,5,90.16,55.56,8,16.39,88.89,6.69,6.676229508,0,0,4,57.14285714,14.28571429,28.57142857,42.85714286,14.28571429,57.14285714,14.28571429,0,85.71428571,0,14.28571429,14.28571429,28.57142857,0,71.42857143,0,57.14285714,16.66666667,33.33333333,0,100,6.688251366,0,0,4,57.14285714,14.28571429,28.57142857,42.85714286,14.28571429,57.14285714,14.28571429,0,85.71428571,0,14.28571429,14.28571429,28.57142857,0,71.42857143,0,57.14285714,16.66666667,33.33333333,0,100,0.73,83.61,92.9,97.27,100,100,100,89.61748634,89.61748634,0,0,0,1,0.55,11.11,3,9.84,33.33,1,2.19,11.11,1,0.55,11.11,6.557377049,6.557377049,2,9.29,22.22,2,9.29,22.22,2,2.73,22.22,2,2.73,22.22,2,1.64,22.22,0,0,0,12.02185792,1.639344262,12.02185792,1.639344262
FOU7666,1AFOU002.06,Str,1,9/16/2015,Riffle,Fall,Coast,0,0,18.05,10,0,0,19.02,30,23.9,10,77.07,40,77.07,40,0,0,0,0,1.95,10,3.9,30,0,0,0.49,10,0,0,53.17,30,23.90243902,37.07317073,18.04878049,24.3902439,0,0,20,23.90243902,37.07317073,18.04878049,24.3902439,0,0,20,10,0,1,0,3,1,4,4,0,0,1,3,0,1,0,3,10,4,0,10,4,0,6,44.88,60,0,0,0,3,2.44,30,3,39.02,30,0,0,0,0,0,0,3,2.44,30,4,58.54,40,4,55.12,40,7.25,6,44.88,60,0,0,0,3,2.44,30,3,39.02,30,0,0,0,0,0,0,3,2.44,30,4,58.54,40,4,55.12,40,7.25,7.16297561,0,0,3,37.5,50,12.5,50,0,37.5,12.5,0,50,0,0,12.5,12.5,0,37.5,25,25,0,28.57142857,0,50,7.252634146,0,0,3,37.5,50,12.5,50,0,37.5,12.5,0,50,0,0,12.5,12.5,0,37.5,25,25,0,28.57142857,0,50,1.56,36.59,78.54,96.59,100,100,100,60.48780488,60.48780488,1,0.49,10,0,0,0,4,53.66,40,0,0,0,1,23.9,10,37.56097561,37.56097561,2,52.68,20,2,52.68,20,4,26.34,40,0,0,0,2,2.44,20,1,0.49,10,79.02439024,2.43902439,79.02439024,2.43902439
