BENSAMPID,StationID,RefStress,RepNum,CollectionDate,Gradient,Season,BioRegion,AMPHPIND,AMPHPTAX,CHIRPIND,CHIRPTAX,CRUSPIND,CRUSPTAX,DIPTPIND,DIPTPTAX,EPHEPIND,EPHEPTAX,EPOTPIND,EPOTPTAX,EPT_PIND,EPT_PTAX,HEMIPIND,HEMIPTAX,MITEPIND,MITEPTAX,MOLLPIND,MOLLPTAX,NOINPIND,NOINPTAX,ODONPIND,ODONPTAX,OLLEPIND,OLLEPTAX,PLECPIND,PLECPTAX,TRICPIND,TRICPTAX,%Ephem,%PT - Hydropsychidae,%Chiro,%EPT-H+C,%Ephem-B,%EPT45,%EPT65,gregTol_%Ephem,gregTol_%PT - Hydropsychidae,gregTol_%Chiro,gregTol_%EPT-H+C,gregTol_%Ephem-B,gregTol_%EPT45,gregTol_%EPT65,TOTLNTAX,AMPHNTAX,CHIRNTAX,CRUSNTAX,DIPTNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,HEMINTAX,MITENTAX,MOLLNTAX,NOINNTAX,ODONNTAX,OLLENTAX,PLECNTAX,TRICNTAX,Genus Total Taxa,Genus EPT Taxa,Elmid,gregTol_Genus Total Taxa,gregTol_Genus EPT Taxa,gregTol_Elmid,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,gregTol_FACLNTAX,gregTol_FACLPIND,gregTol_FACLPTAX,gregTol_INTLNTAX,gregTol_INTLPIND,gregTol_INTLPTAX,gregTol_NTOLNTAX,gregTol_NTOLPIND,gregTol_NTOLPTAX,gregTol_STOLNTAX,gregTol_STOLPIND,gregTol_STOLPTAX,gregTol_TL01NTAX,gregTol_TL01PIND,gregTol_TL01PTAX,gregTol_TL23NTAX,gregTol_TL23PIND,gregTol_TL23PTAX,gregTol_TL45NTAX,gregTol_TL45PIND,gregTol_TL45PTAX,gregTol_TL67NTAX,gregTol_TL67PIND,gregTol_TL67PTAX,gregTol_TOLRNTAX,gregTol_TOLRPIND,gregTol_TOLRPTAX,gregTol_WTD_TV,Genus HBI,BCGatt2&3,%BCGatt2&3,BCGatt5,%BCGatt5,%BCG_DO_att2&3,%BCG_DO_att5,%BCG_Acidity_att2&3,%BCG_Acidity_att5,%BCG_Alkalinity_att2&3,%BCG_Alkalinity_att5,%BCG_spCond_att2&3,%BCG_spCond_att5,%BCG_Chloride_att2&3,%BCG_Chloride_att5,%BCG_Sulfate_att2&3,%BCG_Sulfate_att5,%BCG_TNTP_att2&3,%BCG_TNTP_att5,%BCG_totHab_att2&3,%BCG_totHab_att5,%BCG_RBS_att2&3,%BCG_RBS_att5,%BCG_pctIMP_att2&3,%BCG_pctIMP_att5,gregTol_Genus HBI,gregTol_BCGatt2&3,gregTol_%BCGatt2&3,gregTol_BCGatt5,gregTol_%BCGatt5,gregTol_%BCG_DO_att2&3,gregTol_%BCG_DO_att5,gregTol_%BCG_Acidity_att2&3,gregTol_%BCG_Acidity_att5,gregTol_%BCG_Alkalinity_att2&3,gregTol_%BCG_Alkalinity_att5,gregTol_%BCG_spCond_att2&3,gregTol_%BCG_spCond_att5,gregTol_%BCG_Chloride_att2&3,gregTol_%BCG_Chloride_att5,gregTol_%BCG_Sulfate_att2&3,gregTol_%BCG_Sulfate_att5,gregTol_%BCG_TNTP_att2&3,gregTol_%BCG_TNTP_att5,gregTol_%BCG_totHab_att2&3,gregTol_%BCG_totHab_att5,gregTol_%BCG_RBS_att2&3,gregTol_%BCG_RBS_att5,gregTol_%BCG_pctIMP_att2&3,gregTol_%BCG_pctIMP_att5,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,Genus %2 Dominant,gregTol_Genus %2 Dominant,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,%Clinger-HS,gregTol_%Clinger-HS,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,%Collector,%GenusScraper,gregTol_%Collector,gregTol_%GenusScraper
BED5615,1ABED009.37,Ref,1,10/30/2013,MACS,Fall,Piedmont,0.54,3.7,12.97,3.7,0.54,3.7,20,11.11,27.57,14.81,63.24,51.85,57.84,33.33,0,0,0,0,3.24,3.7,4.86,14.81,5.41,18.52,0.54,3.7,0,0,30.27,18.52,27.56756757,23.78378378,12.97297297,37.2972973,27.02702703,10.71428571,28.57142857,27.56756757,23.78378378,12.97297297,37.2972973,27.02702703,10.71428571,28.57142857,27,1,1,1,3,4,14,9,0,0,1,4,5,1,0,5,27,9,2,27,9,2,19,72.43,70.37,0,0,0,10,35.68,37.04,3,8.11,11.11,0,0,0,0,0,0,10,35.68,37.04,13,55.68,48.15,7,27.03,25.93,6.25,19,72.43,70.37,0,0,0,10,35.68,37.04,3,8.11,11.11,0,0,0,0,0,0,10,35.68,37.04,13,55.68,48.15,7,27.03,25.93,6.23,6.493855422,2,8.333333333,4,16.66666667,13.04347826,13.04347826,21.73913043,0,52.17391304,0,21.73913043,21.73913043,30.43478261,0,30.43478261,8.695652174,4.545454545,18.18181818,8.695652174,17.39130435,0,10,26.08695652,39.13043478,6.474819277,2,8.333333333,4,16.66666667,13.04347826,13.04347826,21.73913043,0,52.17391304,0,21.73913043,21.73913043,30.43478261,0,30.43478261,8.695652174,4.545454545,18.18181818,8.695652174,17.39130435,0,10,26.08695652,39.13043478,2.67,20.36,47.9,61.68,100,100,100,31.35135135,31.35135135,2,2.7,7.41,5,5.41,18.52,11,60.54,40.74,1,0.54,3.7,4,13.51,14.81,48.10810811,48.10810811,4,35.14,14.81,3,29.19,11.11,6,17.84,22.22,8,8.65,29.63,4,21.62,14.81,4,3.78,14.81,52.97297297,21.62162162,52.97297297,21.62162162
GOO2842,1AGOO018.17,Ref,1,3/27/2012,MACS,Spring,Piedmont,0,0,1.41,4.55,0,0,3.52,18.18,37.32,18.18,78.87,68.18,75.35,50,0,0,0,0,16.9,9.09,16.9,9.09,3.52,18.18,0,0,29.58,22.73,8.45,9.09,37.32394366,38.02816901,1.408450704,70.42253521,37.32394366,18.18181818,40.90909091,37.32394366,38.02816901,1.408450704,70.42253521,37.32394366,21.73913043,39.13043478,22,0,1,0,4,4,15,11,0,0,2,2,4,0,5,2,22,11,1,22,11,1,16,76.06,72.73,0,0,0,12,69.72,54.55,2,21.13,9.09,0,0,0,2,2.82,9.09,10,66.9,45.45,7,8.45,31.82,5,23.24,22.73,5.72,15,73.94,68.18,2,2.82,9.09,12,69.72,54.55,2,21.13,9.09,0,0,0,3,3.52,13.64,9,66.2,40.91,8,9.15,36.36,5,23.24,22.73,5.74,5.744428571,6,35.29411765,1,5.882352941,43.75,0,56.25,6.25,43.75,0,50,18.75,50,0,18.75,0,31.25,12.5,43.75,12.5,18.75,6.25,53.33333333,26.66666667,5.745531915,6,35.29411765,1,5.882352941,43.75,0,56.25,6.25,43.75,0,50,18.75,50,0,18.75,0,31.25,12.5,43.75,12.5,18.75,6.25,53.33333333,26.66666667,2.3,29.79,60.28,75.18,100,100,100,45.77464789,45.77464789,4,3.52,18.18,0,0,0,12,64.08,54.55,3,26.76,13.64,1,3.52,4.55,63.38028169,63.38028169,5,28.87,22.73,2,8.45,9.09,1,2.82,4.55,7,22.54,31.82,4,32.39,18.18,2,10.56,9.09,31.69014085,32.3943662,31.69014085,32.3943662
GOO3585,1AGOO018.17,Ref,1,8/21/2012,MACS,Fall,Piedmont,0,0,9.57,3.85,0,0,9.57,3.85,29.26,19.23,44.68,50,39.36,38.46,0,0,2.66,3.85,4.26,11.54,9.57,23.08,5.32,11.54,0.53,3.85,4.79,7.69,5.32,11.54,29.25531915,10.10638298,9.574468085,35.63829787,29.25531915,10.34482759,31.03448276,29.25531915,10.10638298,9.574468085,35.63829787,29.25531915,10,30,26,0,1,0,1,5,13,10,0,1,3,6,3,1,2,3,26,10,3,26,10,3,20,86.17,76.92,0,0,0,14,55.32,53.85,3,2.66,11.54,0,0,0,1,1.06,3.85,13,54.26,50,8,40.96,30.77,5,12.77,19.23,5.86,20,86.7,76.92,0,0,0,14,55.32,53.85,3,2.66,11.54,0,0,0,2,2.13,7.69,12,53.19,46.15,8,41.49,30.77,5,12.77,19.23,5.88,5.977011494,5,21.73913043,2,8.695652174,31.81818182,4.545454545,63.63636364,0,45.45454545,0,27.27272727,22.72727273,45.45454545,0,22.72727273,13.63636364,13.63636364,18.18181818,40.90909091,13.63636364,22.72727273,9.090909091,28.57142857,28.57142857,5.962988506,5,21.73913043,2,8.695652174,31.81818182,4.545454545,63.63636364,0,45.45454545,0,27.27272727,22.72727273,45.45454545,0,22.72727273,13.63636364,13.63636364,18.18181818,40.90909091,13.63636364,22.72727273,9.090909091,28.57142857,28.57142857,2.59,25.14,50.86,66.29,100,100,100,37.76595745,37.76595745,1,3.19,3.85,2,1.6,7.69,13,51.06,50,3,24.47,11.54,2,1.6,7.69,51.06382979,51.06382979,3,2.66,11.54,1,0.53,3.85,8,56.91,30.77,5,9.57,19.23,5,10.11,19.23,3,7.98,11.54,59.57446809,10.10638298,59.57446809,10.10638298
GOO5220,1AGOO039.63,Ref,1,9/18/2013,MACS,Fall,Piedmont,0,0,5.88,3.7,0,0,5.88,3.7,6.42,7.41,28.88,44.44,22.99,33.33,0,0,10.16,3.7,9.09,11.11,20.32,18.52,5.88,11.11,0,0,2.14,7.41,14.44,18.52,6.417112299,11.76470588,5.882352941,18.18181818,6.417112299,7.407407407,25.92592593,6.417112299,11.76470588,5.882352941,18.18181818,6.417112299,7.407407407,25.92592593,27,0,1,0,1,2,12,9,0,1,3,5,3,0,2,5,27,9,5,27,9,5,22,82.35,81.48,0,0,0,14,54.55,51.85,2,6.42,7.41,0,0,0,1,1.07,3.7,13,53.48,48.15,11,39.04,40.74,5,17.65,18.52,6,22,82.35,81.48,0,0,0,14,54.55,51.85,2,6.42,7.41,0,0,0,1,1.07,3.7,13,53.48,48.15,11,39.04,40.74,5,17.65,18.52,5.99,6.017967914,3,13.63636364,1,4.545454545,30,5,55,0,40,0,15,20,35,0,10,5,15,10,40,20,15,0,20,30,5.990374332,3,13.63636364,1,4.545454545,30,5,55,0,40,0,15,20,35,0,10,5,15,10,40,20,15,0,20,30,2.86,18.72,39.57,51.34,100,100,100,29.41176471,29.41176471,1,1.07,3.7,2,5.35,7.41,17,63.1,62.96,1,1.07,3.7,2,6.95,7.41,58.28877005,58.28877005,5,13.9,18.52,3,7.49,11.11,6,36.9,22.22,8,16.58,29.63,4,11.23,14.81,2,5.35,7.41,50.80213904,11.22994652,50.80213904,11.22994652
LIV5324,1ALIV012.12,Ref,1,10/9/2013,MACS,Fall,Piedmont,0,0,19.02,3.03,0,0,23.37,15.15,2.17,9.09,10.33,30.3,9.78,27.27,0,0,14.13,3.03,20.65,15.15,36.96,24.24,0.54,3.03,1.63,3.03,0,0,7.61,18.18,2.173913043,5.97826087,19.02173913,4.347826087,2.173913043,5.882352941,23.52941176,2.173913043,5.97826087,19.02173913,4.347826087,2.173913043,5.882352941,23.52941176,33,0,1,0,5,3,10,9,0,1,5,8,1,1,0,6,33,9,4,33,9,4,23,80.43,69.7,0,0,0,15,17.93,45.45,6,8.7,18.18,0,0,0,1,0.54,3.03,14,17.39,42.42,11,72.83,33.33,9,19.02,27.27,6.36,23,80.43,69.7,0,0,0,15,17.93,45.45,6,8.7,18.18,0,0,0,1,0.54,3.03,14,17.39,42.42,11,72.83,33.33,9,19.02,27.27,6.36,6.389722222,2,7.407407407,6,22.22222222,19.23076923,7.692307692,42.30769231,0,30.76923077,3.846153846,19.23076923,26.92307692,28,4,23.07692308,11.53846154,15.38461538,23.07692308,23.07692308,23.07692308,9.090909091,9.090909091,28,36,6.405333333,2,7.407407407,6,22.22222222,19.23076923,7.692307692,42.30769231,0,30.76923077,3.846153846,19.23076923,26.92307692,28,4,23.07692308,11.53846154,15.38461538,23.07692308,23.07692308,23.07692308,9.090909091,9.090909091,28,36,2.7,19.34,49.72,66.3,100,100,100,34.7826087,34.7826087,2,3.26,6.06,3,2.17,9.09,17,52.72,51.52,3,2.72,9.09,2,1.09,6.06,50.54347826,50.54347826,7,8.7,21.21,3,5.43,9.09,6,9.24,18.18,8,7.61,24.24,8,36.96,24.24,2,4.35,6.06,17.93478261,36.95652174,17.93478261,36.95652174
APP4957,2-APP081.04,Ref,1,5/30/2013,MACS,Spring,Piedmont,0,0,21.74,4.17,0,0,23.19,16.67,14.98,29.17,61.35,62.5,61.35,62.5,0,0,0,0,0,0,0,0,0,0,0,0,13.53,12.5,32.85,20.83,14.97584541,44.92753623,21.73913043,39.61352657,12.07729469,16,48,14.97584541,44.92753623,21.73913043,39.61352657,12.07729469,16,48,24,0,1,0,4,7,15,15,0,0,0,0,0,0,3,5,24,15,5,24,15,5,17,61.84,70.83,0,0,0,12,36.23,50,1,18.84,4.17,0,0,0,2,4.83,8.33,10,31.4,41.67,10,43.48,41.67,6,36.71,25,6.21,16,61.35,66.67,1,0.48,4.17,12,36.23,50,1,18.84,4.17,0,0,0,2,4.83,8.33,10,31.4,41.67,10,43.48,41.67,6,36.71,25,6.18,6.252437811,7,41.17647059,1,5.882352941,47.05882353,0,70.58823529,0,35.29411765,0,29.41176471,17.64705882,52.94117647,0,11.76470588,17.64705882,23.52941176,11.76470588,47.05882353,5.882352941,17.64705882,5.882352941,52.94117647,17.64705882,6.295721393,7,41.17647059,1,5.882352941,47.05882353,0,70.58823529,0,35.29411765,0,29.41176471,17.64705882,52.94117647,0,11.76470588,17.64705882,23.52941176,11.76470588,47.05882353,5.882352941,17.64705882,5.882352941,52.94117647,17.64705882,2.41,22.06,52.94,72.06,100,100,100,40.57971014,40.57971014,1,0.48,4.17,2,0.97,8.33,14,67.63,58.33,3,6.28,12.5,3,2.9,12.5,65.70048309,65.70048309,4,32.37,16.67,3,31.88,12.5,7,11.59,29.17,5,10.63,20.83,4,18.36,16.67,2,4.83,8.33,43.96135266,18.35748792,43.96135266,18.35748792
APP5721,2-APP081.04,Ref,1,10/31/2013,MACS,Fall,Piedmont,0,0,11.01,3.03,0,0,13.76,15.15,38.99,12.12,70.18,57.58,69.72,54.55,0,0,0,0,4.59,15.15,4.59,15.15,0.46,3.03,0,0,11.01,18.18,19.72,24.24,38.99082569,28.44036697,11.00917431,56.88073394,32.11009174,17.14285714,51.42857143,38.99082569,28.44036697,11.00917431,56.88073394,32.11009174,17.14285714,51.42857143,33,0,1,0,5,4,19,18,0,0,5,5,1,0,6,8,33,18,4,33,18,4,23,79.82,69.7,0,0,0,18,58.72,54.55,4,5.5,12.12,0,0,0,1,1.83,3.03,17,56.88,51.52,10,34.4,30.3,9,18.81,27.27,5.68,22,77.98,66.67,1,1.83,3.03,18,58.72,54.55,4,5.5,12.12,0,0,0,3,8.26,9.09,15,50.46,45.45,10,34.4,30.3,9,18.81,27.27,5.65,5.833266332,8,30.76923077,4,15.38461538,42.30769231,11.53846154,57.69230769,0,42.30769231,3.846153846,30.76923077,19.23076923,53.84615385,0,30.76923077,11.53846154,23.07692308,19.23076923,30.76923077,15.38461538,19.23076923,7.692307692,42.30769231,23.07692308,5.804120603,8,30.76923077,4,15.38461538,42.30769231,11.53846154,57.69230769,0,42.30769231,3.846153846,30.76923077,19.23076923,53.84615385,0,30.76923077,11.53846154,23.07692308,19.23076923,30.76923077,15.38461538,19.23076923,7.692307692,42.30769231,23.07692308,2.88,19.8,42.08,55.94,100,100,100,29.35779817,29.35779817,2,0.92,6.06,4,5.05,12.12,15,56.88,45.45,4,5.05,12.12,3,16.06,9.09,54.12844037,54.12844037,7,18.81,21.21,4,14.68,12.12,6,16.06,18.18,9,11.47,27.27,6,36.7,18.18,4,5.96,12.12,34.86238532,36.69724771,34.86238532,36.69724771
HAZ10210,3-HAZ032.54,Ref,1,10/18/2017,MACS,Fall,Piedmont,0,0,28.8,4.76,0,0,30.43,9.52,21.74,19.05,54.35,66.67,54.35,66.67,0,0,0,0,0,0,0,0,0,0,0,0,3.8,14.29,28.8,33.33,21.73913043,27.17391304,28.80434783,25,20.10869565,19.23076923,57.69230769,21.73913043,27.17391304,28.80434783,25,20.10869565,23.07692308,57.69230769,21,0,1,0,2,4,14,14,0,0,0,0,0,0,3,7,21,14,4,21,14,4,16,79.89,76.19,1,1.09,4.76,12,40.22,57.14,1,10.87,4.76,0,0,0,3,4.89,14.29,9,35.33,42.86,8,48.91,38.1,4,19.02,19.05,6.02,14,76.09,66.67,3,4.89,14.29,12,40.22,57.14,1,10.87,4.76,1,1.09,4.76,2,3.8,9.52,9,35.33,42.86,8,48.91,38.1,4,19.02,19.05,5.97,6.285675676,7,38.88888889,2,11.11111111,61.11111111,0,50,0,22.22222222,0,33.33333333,22.22222222,50,0,22.22222222,22.22222222,16.66666667,5.555555556,50,5.555555556,23.52941176,0,44.44444444,22.22222222,6.251486486,7,38.88888889,2,11.11111111,61.11111111,0,50,0,22.22222222,0,33.33333333,22.22222222,50,0,22.22222222,22.22222222,16.66666667,5.555555556,50,5.555555556,23.52941176,0,44.44444444,22.22222222,2.33,35.81,56.08,68.92,100,100,100,39.67391304,39.67391304,0,0,0,2,1.09,9.52,15,61.96,71.43,1,1.63,4.76,2,6.52,9.52,56.52173913,56.52173913,5,31.52,23.81,4,26.63,19.05,3,15.76,14.29,6,7.61,28.57,4,14.67,19.05,1,0.54,4.76,47.2826087,14.67391304,47.2826087,14.67391304
CNT1242,4ACNT003.84,Ref,1,5/25/2010,MACS,Spring,Piedmont,0,0,21.23,2.94,0,0,22.91,8.82,39.66,32.35,54.75,47.06,54.19,44.12,0,0,0,0,1.12,5.88,4.47,8.82,0.56,2.94,3.35,2.94,2.23,5.88,12.29,5.88,39.66480447,14.52513966,21.22905028,37.4301676,34.63687151,21.05263158,44.73684211,39.66480447,14.52513966,21.22905028,37.4301676,34.63687151,21.05263158,44.73684211,34,0,1,0,3,11,16,15,0,0,2,3,1,1,2,2,34,15,7,34,15,7,30,64.25,88.24,0,0,0,23,37.43,67.65,2,11.17,5.88,0,0,0,1,1.12,2.94,22,36.31,64.71,9,50.84,26.47,4,35.2,11.76,6.21,29,63.13,85.29,1,1.12,2.94,23,37.43,67.65,2,11.17,5.88,0,0,0,2,1.68,5.88,21,35.75,61.76,9,50.84,26.47,4,35.2,11.76,6.19,6.287951807,12,40,3,10,48.27586207,0,51.72413793,3.448275862,31.03448276,0,34.48275862,10.34482759,58.62068966,0,27.5862069,6.896551724,17.24137931,10.34482759,51.72413793,3.448275862,17.85714286,7.142857143,55.17241379,17.24137931,6.305060241,12,40,3,10,48.27586207,0,51.72413793,3.448275862,31.03448276,0,34.48275862,10.34482759,58.62068966,0,27.5862069,6.896551724,17.24137931,10.34482759,51.72413793,3.448275862,17.85714286,7.142857143,55.17241379,17.24137931,2.6,25.3,57.23,69.28,100,100,100,44.69273743,44.69273743,3,2.79,8.82,0,0,0,20,38.55,58.82,3,25.14,8.82,6,8.38,17.65,37.98882682,37.98882682,5,13.97,14.71,2,11.73,5.88,12,46.93,35.29,5,4.47,14.71,7,8.94,20.59,3,3.35,8.82,60.89385475,8.938547486,60.89385475,8.938547486
CNT1475,4ACNT003.84,Ref,1,9/9/2010,MACS,Fall,Piedmont,0,0,6.67,3.03,0.48,3.03,13.81,12.12,22.38,27.27,58.1,54.55,57.14,48.48,0,0,0.48,3.03,5.24,6.06,9.52,15.15,0.95,6.06,3.33,3.03,1.43,6.06,33.33,15.15,22.38095238,32.38095238,6.666666667,30,19.52380952,14.28571429,40,22.38095238,32.38095238,6.666666667,30,19.52380952,14.28571429,40,33,0,1,1,4,9,18,16,0,1,2,5,2,1,2,5,33,16,4,33,16,4,27,64.29,81.82,0,0,0,15,38.1,45.45,3,26.67,9.09,0,0,0,1,0.95,3.03,14,37.14,42.42,15,35.24,45.45,6,35.71,18.18,6.37,26,63.33,78.79,1,0.95,3.03,15,38.1,45.45,3,26.67,9.09,0,0,0,3,3.33,9.09,12,34.76,36.36,15,35.24,45.45,6,35.71,18.18,6.35,6.330049261,7,25,2,7.142857143,46.15384615,3.846153846,53.84615385,0,26.92307692,0,30.76923077,15.38461538,53.84615385,0,26.92307692,15.38461538,15.38461538,15.38461538,46.15384615,7.692307692,28,12,42.30769231,23.07692308,6.397142857,7,25,2,7.142857143,46.15384615,3.846153846,53.84615385,0,26.92307692,0,30.76923077,15.38461538,53.84615385,0,26.92307692,15.38461538,15.38461538,15.38461538,46.15384615,7.692307692,28,12,42.30769231,23.07692308,2.86,21.67,40.39,53.69,100,100,100,30.95238095,30.95238095,2,0.95,6.06,1,0.95,3.03,17,70.48,51.52,4,3.81,12.12,5,12.86,15.15,61.9047619,61.9047619,7,50.95,21.21,4,32.38,12.12,9,17.14,27.27,6,5.24,18.18,7,18.1,21.21,2,1.43,6.06,68.0952381,18.0952381,68.0952381,18.0952381
