BENSAMPID,StationID,RefStress,RepNum,CollectionDate,Gradient,Season,BioRegion,AMPHPIND,AMPHPTAX,CHIRPIND,CHIRPTAX,CRUSPIND,CRUSPTAX,DIPTPIND,DIPTPTAX,EPHEPIND,EPHEPTAX,EPOTPIND,EPOTPTAX,EPT_PIND,EPT_PTAX,HEMIPIND,HEMIPTAX,MITEPIND,MITEPTAX,MOLLPIND,MOLLPTAX,NOINPIND,NOINPTAX,ODONPIND,ODONPTAX,OLLEPIND,OLLEPTAX,PLECPIND,PLECPTAX,TRICPIND,TRICPTAX,%Ephem,%PT - Hydropsychidae,%Chiro,%EPT-H+C,%Ephem-B,%EPT45,%EPT65,gregTol_%Ephem,gregTol_%PT - Hydropsychidae,gregTol_%Chiro,gregTol_%EPT-H+C,gregTol_%Ephem-B,gregTol_%EPT45,gregTol_%EPT65,TOTLNTAX,AMPHNTAX,CHIRNTAX,CRUSNTAX,DIPTNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,HEMINTAX,MITENTAX,MOLLNTAX,NOINNTAX,ODONNTAX,OLLENTAX,PLECNTAX,TRICNTAX,Genus Total Taxa,Genus EPT Taxa,Elmid,gregTol_Genus Total Taxa,gregTol_Genus EPT Taxa,gregTol_Elmid,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,gregTol_FACLNTAX,gregTol_FACLPIND,gregTol_FACLPTAX,gregTol_INTLNTAX,gregTol_INTLPIND,gregTol_INTLPTAX,gregTol_NTOLNTAX,gregTol_NTOLPIND,gregTol_NTOLPTAX,gregTol_STOLNTAX,gregTol_STOLPIND,gregTol_STOLPTAX,gregTol_TL01NTAX,gregTol_TL01PIND,gregTol_TL01PTAX,gregTol_TL23NTAX,gregTol_TL23PIND,gregTol_TL23PTAX,gregTol_TL45NTAX,gregTol_TL45PIND,gregTol_TL45PTAX,gregTol_TL67NTAX,gregTol_TL67PIND,gregTol_TL67PTAX,gregTol_TOLRNTAX,gregTol_TOLRPIND,gregTol_TOLRPTAX,gregTol_WTD_TV,Genus HBI,BCGatt2&3,%BCGatt2&3,BCGatt5,%BCGatt5,%BCG_DO_att2&3,%BCG_DO_att5,%BCG_Acidity_att2&3,%BCG_Acidity_att5,%BCG_Alkalinity_att2&3,%BCG_Alkalinity_att5,%BCG_spCond_att2&3,%BCG_spCond_att5,%BCG_Chloride_att2&3,%BCG_Chloride_att5,%BCG_Sulfate_att2&3,%BCG_Sulfate_att5,%BCG_TNTP_att2&3,%BCG_TNTP_att5,%BCG_totHab_att2&3,%BCG_totHab_att5,%BCG_RBS_att2&3,%BCG_RBS_att5,%BCG_pctIMP_att2&3,%BCG_pctIMP_att5,gregTol_Genus HBI,gregTol_BCGatt2&3,gregTol_%BCGatt2&3,gregTol_BCGatt5,gregTol_%BCGatt5,gregTol_%BCG_DO_att2&3,gregTol_%BCG_DO_att5,gregTol_%BCG_Acidity_att2&3,gregTol_%BCG_Acidity_att5,gregTol_%BCG_Alkalinity_att2&3,gregTol_%BCG_Alkalinity_att5,gregTol_%BCG_spCond_att2&3,gregTol_%BCG_spCond_att5,gregTol_%BCG_Chloride_att2&3,gregTol_%BCG_Chloride_att5,gregTol_%BCG_Sulfate_att2&3,gregTol_%BCG_Sulfate_att5,gregTol_%BCG_TNTP_att2&3,gregTol_%BCG_TNTP_att5,gregTol_%BCG_totHab_att2&3,gregTol_%BCG_totHab_att5,gregTol_%BCG_RBS_att2&3,gregTol_%BCG_RBS_att5,gregTol_%BCG_pctIMP_att2&3,gregTol_%BCG_pctIMP_att5,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,Genus %2 Dominant,gregTol_Genus %2 Dominant,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,%Clinger-HS,gregTol_%Clinger-HS,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,%Collector,%GenusScraper,gregTol_%Collector,gregTol_%GenusScraper
ABR3814,1AABR000.78,Str,1,10/23/2012,Riffle,Fall,Mountain,0,0,3.66,7.14,1.05,7.14,5.76,14.29,1.57,14.29,82.72,50,81.15,35.71,0,0,0,0,0,0,3.14,21.43,1.57,14.29,0.52,7.14,0,0,79.58,21.43,1.570680628,63.35078534,3.664921466,6.282722513,1.570680628,6.666666667,20,1.570680628,63.35078534,3.664921466,6.282722513,1.570680628,6.25,18.75,14,0,1,1,2,2,7,5,0,0,0,3,2,1,0,3,14,5,2,14,5,2,9,23.04,64.29,0,0,0,5,12.04,35.71,2,52.88,14.29,0,0,0,1,1.05,7.14,4,10.99,28.57,7,34.55,50,5,76.44,35.71,7.4,8,22.51,57.14,1,1.05,7.14,5,12.04,35.71,2,52.88,14.29,0,0,0,1,1.05,7.14,4,10.99,28.57,7,35.08,50,5,76.44,35.71,7.43,7.409213483,0,0,3,27.27272727,36.36363636,9.090909091,54.54545455,9.090909091,27.27272727,0,0,36.36363636,18.18181818,0,0,9.090909091,0,18.18181818,18.18181818,27.27272727,0,9.090909091,18.18181818,45.45454545,7.570786517,0,0,3,27.27272727,36.36363636,9.090909091,54.54545455,9.090909091,27.27272727,0,0,36.36363636,18.18181818,0,0,9.090909091,0,18.18181818,18.18181818,27.27272727,0,9.090909091,18.18181818,45.45454545,1.55,56.18,80.34,89.33,100,100,100,68.58638743,68.58638743,1,0.52,7.14,0,0,0,8,91.62,57.14,1,1.05,7.14,1,0.52,7.14,75.39267016,75.39267016,4,80.1,28.57,3,79.58,21.43,5,6.28,35.71,2,1.05,14.29,2,8.38,14.29,0,0,0,86.38743455,8.376963351,86.38743455,8.376963351
ABR5267,1AABR000.78,Str,1,11/6/2013,Riffle,Fall,Mountain,0,0,10.5,5.26,0,0,18.5,21.05,3,31.58,70.5,52.63,70.5,52.63,0,0,1,5.26,0.5,5.26,2.5,15.79,0,0,1,5.26,2,5.26,65.5,15.79,3,57.5,10.5,15,2.5,5,30,3,57.5,10.5,15,2.5,5,30,19,0,1,0,4,6,10,10,0,1,1,3,0,1,1,3,19,10,2,19,10,2,11,36,57.89,0,0,0,5,11,26.32,3,45.5,15.79,0,0,0,0,0,0,5,11,26.32,11,43.5,57.89,8,64,42.11,7.29,11,36,57.89,0,0,0,5,11,26.32,3,45.5,15.79,0,0,0,0,0,0,5,11,26.32,11,43.5,57.89,8,64,42.11,7.29,7.165380711,2,11.76470588,3,17.64705882,37.5,0,50,0,18.75,0,18.75,50,18.75,0,12.5,31.25,6.25,25,43.75,18.75,0,14.28571429,31.25,43.75,7.314720812,2,11.76470588,3,17.64705882,37.5,0,50,0,18.75,0,18.75,50,18.75,0,12.5,31.25,6.25,25,43.75,18.75,0,14.28571429,31.25,43.75,1.95,44.67,65.48,81.73,100,100,100,54.5,54.5,0,0,0,0,0,0,8,81,42.11,6,5.5,31.58,2,1,10.53,71,71,5,66.5,26.32,3,65.5,15.79,7,9.5,36.84,1,1.5,5.26,3,9,15.79,1,2,5.26,76,9,76,9
BAR10306,1ABAR038.57,Int,1,9/14/2015,Riffle,Fall,Mountain,0.52,5,4.12,5,0.52,5,4.64,10,52.06,25,64.43,50,62.37,45,0,0,0,0,5.67,10,6.19,15,2.06,5,0,0,2.06,5,8.25,15,52.06185567,9.793814433,4.12371134,54.12371134,48.45360825,10,35,52.06185567,9.793814433,4.12371134,54.12371134,48.45360825,10,35,20,1,1,1,2,5,10,9,0,0,2,3,1,0,1,3,20,9,3,20,9,3,14,75.26,70,0,0,0,6,55.15,30,2,9.79,10,0,0,0,1,1.55,5,5,53.61,25,11,34.54,55,5,24.23,25,5.97,13,73.71,65,1,1.55,5,6,55.15,30,2,9.79,10,0,0,0,1,1.55,5,5,53.61,25,11,34.54,55,5,24.23,25,5.95,5.990687831,2,12.5,2,12.5,40,0,60,0,0,0,13.33333333,33.33333333,26.66666667,0,6.666666667,20,6.666666667,13.33333333,33.33333333,13.33333333,21.42857143,7.142857143,33.33333333,33.33333333,5.995026455,2,12.5,2,12.5,40,0,60,0,0,0,13.33333333,33.33333333,26.66666667,0,6.666666667,20,6.666666667,13.33333333,33.33333333,13.33333333,21.42857143,7.142857143,33.33333333,33.33333333,2.27,30,61.05,73.68,100,100,100,46.39175258,46.39175258,1,0.52,5,0,0,0,12,56.19,60,3,5.67,15,3,33.51,15,55.67010309,55.67010309,5,42.27,25,3,8.25,15,5,8.76,25,5,6.19,25,4,38.66,20,0,0,0,51.03092784,38.65979381,51.03092784,38.65979381
BAR2282,1ABAR046.01,NA,1,9/26/2011,Riffle,Fall,Mountain,0,0,11.98,4,0,0,19.79,16,28.12,28,71.88,56,68.75,48,0,0,0,0,0.52,4,1.56,12,3.12,8,0.52,4,0.52,4,40.1,16,28.125,37.5,11.97916667,46.35416667,19.27083333,11.11111111,40.74074074,28.125,37.5,11.97916667,46.35416667,19.27083333,11.11111111,40.74074074,25,0,1,0,4,7,14,12,0,0,1,3,2,1,1,4,25,12,3,25,12,3,19,79.69,76,0,0,0,11,38.54,44,2,10.42,8,0,0,0,1,3.65,4,10,34.9,40,12,51.04,48,6,20.31,24,6.1,18,76.04,72,1,3.65,4,11,38.54,44,2,10.42,8,0,0,0,1,3.65,4,10,34.9,40,12,51.04,48,6,20.31,24,6.05,6.162298851,4,19.04761905,3,14.28571429,42.85714286,0,47.61904762,0,23.80952381,0,19.04761905,19.04761905,42.85714286,0,14.28571429,19.04761905,9.523809524,14.28571429,38.0952381,9.523809524,25,5,35,30,6.138045977,4,19.04761905,3,14.28571429,42.85714286,0,47.61904762,0,23.80952381,0,19.04761905,19.04761905,42.85714286,0,14.28571429,19.04761905,9.523809524,14.28571429,38.0952381,9.523809524,25,5,35,30,2.65,21.84,45.98,60.34,100,100,100,31.77083333,31.77083333,1,2.6,4,1,0.52,4,15,70.31,60,2,2.6,8,3,10.94,12,61.97916667,61.97916667,5,46.88,20,3,39.58,12,5,10.42,20,6,6.77,24,8,23.96,32,0,0,0,57.29166667,23.95833333,57.29166667,23.95833333
BAR7795,1ABAR046.01,NA,1,10/26/2015,Riffle,Fall,Mountain,0,0,18.88,6.25,0,0,22.96,12.5,14.8,12.5,71.43,56.25,70.92,50,0,0,0,0,0,0,3.57,6.25,0.51,6.25,3.57,6.25,44.9,25,11.22,12.5,14.79591837,56.12244898,18.87755102,66.32653061,14.79591837,5.882352941,41.17647059,14.79591837,56.12244898,18.87755102,66.32653061,14.79591837,5.882352941,41.17647059,16,0,1,0,2,2,9,8,0,0,0,1,1,1,4,2,16,8,3,16,8,3,13,88.27,81.25,0,0,0,11,62.24,68.75,2,7.65,12.5,0,0,0,0,0,0,11,62.24,68.75,3,30.1,18.75,3,11.73,18.75,5.75,13,88.27,81.25,0,0,0,11,62.24,68.75,2,7.65,12.5,0,0,0,1,0.51,6.25,10,61.73,62.5,3,30.1,18.75,3,11.73,18.75,5.75,5.740974359,4,26.66666667,2,13.33333333,60,0,26.66666667,0,26.66666667,0,33.33333333,13.33333333,53.33333333,0,6.666666667,6.666666667,13.33333333,20,46.66666667,6.666666667,7.142857143,7.142857143,53.33333333,20,5.755230769,4,26.66666667,2,13.33333333,60,0,26.66666667,0,26.66666667,0,33.33333333,13.33333333,53.33333333,0,6.666666667,6.666666667,13.33333333,20,46.66666667,6.666666667,7.142857143,7.142857143,53.33333333,20,1.88,42.56,69.23,83.08,100,100,100,61.2244898,61.2244898,1,0.51,6.25,0,0,0,10,27.55,62.5,2,42.86,12.5,1,6.63,6.25,23.46938776,23.46938776,4,21.94,25,2,11.22,12.5,2,4.08,12.5,3,1.53,18.75,2,8.67,12.5,3,44.39,18.75,26.02040816,8.673469388,26.02040816,8.673469388
BAR10259,1ABAR052.96,Ref,1,9/14/2017,Riffle,Fall,Mountain,0,0,13.02,3.85,0,0,14.06,11.54,24.48,19.23,53.12,53.85,52.08,46.15,0,0,2.08,3.85,2.08,3.85,4.69,11.54,1.04,7.69,0.52,3.85,8.85,7.69,18.75,19.23,24.47916667,27.60416667,13.02083333,34.89583333,24.47916667,16.66666667,43.33333333,24.47916667,27.60416667,13.02083333,34.89583333,24.47916667,16.66666667,43.33333333,26,0,1,0,3,5,14,12,0,1,1,3,2,1,2,5,26,12,3,26,12,3,21,89.58,80.77,0,0,0,13,59.38,50,2,5.73,7.69,0,0,0,0,0,0,13,59.38,50,11,34.9,42.31,5,10.42,19.23,5.61,21,89.58,80.77,0,0,0,13,59.38,50,2,5.73,7.69,0,0,0,1,1.04,3.85,12,58.33,46.15,11,34.9,42.31,5,10.42,19.23,5.6,5.706508876,8,34.7826087,2,8.695652174,50,0,35,5,25,0,30,20,50,0,10,15,15,15,45,10,25,10,50,25,5.724970414,8,34.7826087,2,8.695652174,50,0,35,5,25,0,30,20,50,0,10,15,15,15,45,10,25,10,50,25,2.61,19.53,50.3,65.09,100,100,100,31.25,31.25,2,1.04,7.69,0,0,0,17,75.52,65.38,2,1.04,7.69,2,6.77,7.69,75,75,6,18.23,23.08,4,15.62,15.38,4,7.81,15.38,8,19.27,30.77,5,39.06,19.23,0,0,0,26.04166667,39.0625,26.04166667,39.0625
HOC7796,1AHOC002.83,Int,1,9/22/2015,Riffle,Fall,Mountain,0,0,1.27,5.26,0,0,1.9,10.53,20.89,26.32,31.65,52.63,29.11,42.11,0,0,0,0,0,0,1.27,5.26,2.53,10.53,0,0,0,0,8.23,15.79,20.88607595,7.594936709,1.265822785,25.3164557,20.25316456,10.52631579,21.05263158,20.88607595,7.594936709,1.265822785,25.3164557,20.25316456,10.52631579,21.05263158,19,0,1,0,2,5,10,8,0,0,0,1,2,0,0,3,19,8,4,19,8,4,15,86.71,78.95,0,0,0,9,32.28,47.37,1,3.16,5.26,0,0,0,1,2.53,5.26,8,29.75,42.11,9,64.56,47.37,4,13.29,21.05,5.96,14,84.18,73.68,1,2.53,5.26,9,32.28,47.37,1,3.16,5.26,0,0,0,1,2.53,5.26,8,29.75,42.11,9,64.56,47.37,4,13.29,21.05,5.94,5.945822785,2,12.5,1,6.25,43.75,0,62.5,0,12.5,0,12.5,18.75,37.5,0,12.5,12.5,12.5,6.25,31.25,6.25,12.5,6.25,31.25,37.5,5.936075949,2,12.5,1,6.25,43.75,0,62.5,0,12.5,0,12.5,18.75,37.5,0,12.5,12.5,12.5,6.25,31.25,6.25,12.5,6.25,31.25,37.5,2.03,45.57,65.19,77.85,100,100,100,56.96202532,56.96202532,2,1.9,10.53,0,0,0,12,88.61,63.16,1,1.27,5.26,2,5.7,10.53,87.97468354,87.97468354,4,13.29,21.05,3,8.23,15.79,5,7.59,26.32,3,3.8,15.79,4,72.78,21.05,1,0.63,5.26,20.88607595,72.78481013,20.88607595,72.78481013
HOC7797,1AHOC006.23,NA,1,10/26/2015,Riffle,Fall,Mountain,0,0,16.75,4.35,0,0,17.77,8.7,14.72,17.39,29.95,43.48,28.43,39.13,0,0,5.58,4.35,2.03,8.7,9.64,21.74,1.52,4.35,1.52,4.35,4.57,8.7,9.14,13.04,14.72081218,12.69035533,16.75126904,23.85786802,14.72081218,8,24,14.72081218,12.69035533,16.75126904,23.85786802,14.72081218,8,24,23,0,1,0,2,4,10,9,0,1,2,5,1,1,2,3,23,9,4,23,9,4,16,90.36,69.57,0,0,0,10,26.4,43.48,3,4.57,13.04,0,0,0,1,2.54,4.35,9,23.86,39.13,10,69.04,43.48,7,9.64,30.43,6.01,15,87.82,65.22,1,2.54,4.35,10,26.4,43.48,3,4.57,13.04,0,0,0,1,2.54,4.35,9,23.86,39.13,10,69.04,43.48,7,9.64,30.43,5.99,6.02,3,15,2,10,42.10526316,0,63.15789474,0,10.52631579,0,21.05263158,26.31578947,42.10526316,0,10.52631579,15.78947368,10.52631579,21.05263158,36.84210526,15.78947368,21.05263158,10.52631579,31.57894737,36.84210526,6.003917526,3,15,2,10,42.10526316,0,63.15789474,0,10.52631579,0,21.05263158,26.31578947,42.10526316,0,10.52631579,15.78947368,10.52631579,21.05263158,36.84210526,15.78947368,21.05263158,10.52631579,31.57894737,36.84210526,2.36,34.54,57.73,69.07,100,100,100,50.76142132,50.76142132,0,0,0,0,0,0,15,64.47,65.22,3,5.08,13.04,1,6.09,4.35,62.43654822,62.43654822,6,16.75,26.09,3,9.14,13.04,5,6.6,21.74,3,3.55,13.04,5,44.67,21.74,1,4.06,4.35,23.35025381,44.67005076,23.35025381,44.67005076
ISC11481,1AISC004.64,Int,1,10/10/2018,Riffle,Fall,Mountain,0,0,2.9,7.14,0,0,3.38,14.29,34.78,21.43,88.41,57.14,82.13,42.86,0,0,0,0,4.83,14.29,4.83,14.29,6.28,14.29,0,0,0.97,7.14,46.38,14.29,34.7826087,47.34299517,2.898550725,40.57971014,34.7826087,6.25,37.5,34.7826087,47.34299517,2.898550725,40.57971014,34.7826087,6.25,37.5,14,0,1,0,2,3,8,6,0,0,2,2,2,0,1,2,14,6,1,14,6,1,11,56.52,78.57,0,0,0,7,43.96,50,2,42.51,14.29,0,0,0,0,0,0,7,43.96,50,5,13.53,35.71,3,43.48,21.43,6.61,11,56.52,78.57,0,0,0,7,43.96,50,2,42.51,14.29,0,0,0,0,0,0,7,43.96,50,5,13.53,35.71,3,43.48,21.43,6.6,6.490547264,2,18.18181818,1,9.090909091,45.45454545,0,54.54545455,0,0,0,18.18181818,27.27272727,45.45454545,0,9.090909091,0,18.18181818,18.18181818,36.36363636,18.18181818,27.27272727,0,36.36363636,45.45454545,6.664079602,2,18.18181818,1,9.090909091,45.45454545,0,54.54545455,0,0,0,18.18181818,27.27272727,45.45454545,0,9.090909091,0,18.18181818,18.18181818,36.36363636,18.18181818,27.27272727,0,36.36363636,45.45454545,1.86,39.8,72.64,85.57,100,100,100,58.93719807,58.93719807,1,4.83,7.14,0,0,0,8,75.36,57.14,3,5.31,21.43,1,11.59,7.14,75.36231884,75.36231884,5,62.8,35.71,2,46.38,14.29,0,0,0,4,7.73,28.57,4,26.57,28.57,0,0,0,62.80193237,26.57004831,62.80193237,26.57004831
NOC2642,1ANOC009.37,NA,1,10/5/2011,Riffle,Fall,Mountain,0,0,0,0,0,0,0,0,48.44,20,91.67,60,91.67,60,0,0,0,0,0,0,0,0,0,0,0,0,4.17,10,39.06,30,48.4375,33.85416667,0,60.9375,48.4375,10,30,48.4375,33.85416667,0,60.9375,48.4375,10,30,10,0,0,0,0,2,6,6,0,0,0,0,0,0,1,3,10,6,2,10,6,2,7,67.19,70,0,0,0,6,58.85,60,1,21.35,10,0,0,0,0,0,0,6,58.85,60,3,19.79,30,3,32.81,30,6.09,7,67.19,70,0,0,0,6,58.85,60,1,21.35,10,0,0,0,0,0,0,6,58.85,60,3,19.79,30,3,32.81,30,6.08,6.036041667,1,14.28571429,1,14.28571429,57.14285714,0,42.85714286,0,14.28571429,0,14.28571429,28.57142857,42.85714286,0,0,0,28.57142857,14.28571429,57.14285714,14.28571429,28.57142857,0,57.14285714,42.85714286,6.082916667,1,14.28571429,1,14.28571429,57.14285714,0,42.85714286,0,14.28571429,0,14.28571429,28.57142857,42.85714286,0,0,0,28.57142857,14.28571429,57.14285714,14.28571429,28.57142857,0,57.14285714,42.85714286,1.79,39.58,70.31,87.5,0,0,0,60.9375,60.9375,0,0,0,0,0,0,9,60.42,90,0,0,0,1,39.58,10,51.04166667,51.04166667,4,78.65,40,3,39.06,30,1,1.04,10,2,7.29,20,3,13.02,30,0,0,0,79.6875,13.02083333,79.6875,13.02083333
