BENSAMPID,StationID,RefStress,RepNum,CollectionDate,Gradient,Season,BioRegion,AMPHPIND,AMPHPTAX,CHIRPIND,CHIRPTAX,CRUSPIND,CRUSPTAX,DIPTPIND,DIPTPTAX,EPHEPIND,EPHEPTAX,EPOTPIND,EPOTPTAX,EPT_PIND,EPT_PTAX,HEMIPIND,HEMIPTAX,MITEPIND,MITEPTAX,MOLLPIND,MOLLPTAX,NOINPIND,NOINPTAX,ODONPIND,ODONPTAX,OLLEPIND,OLLEPTAX,PLECPIND,PLECPTAX,TRICPIND,TRICPTAX,%Ephem,%PT - Hydropsychidae,%Chiro,%EPT-H+C,%Ephem-B,%EPT45,%EPT65,gregTol_%Ephem,gregTol_%PT - Hydropsychidae,gregTol_%Chiro,gregTol_%EPT-H+C,gregTol_%Ephem-B,gregTol_%EPT45,gregTol_%EPT65,TOTLNTAX,AMPHNTAX,CHIRNTAX,CRUSNTAX,DIPTNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,HEMINTAX,MITENTAX,MOLLNTAX,NOINNTAX,ODONNTAX,OLLENTAX,PLECNTAX,TRICNTAX,Genus Total Taxa,Genus EPT Taxa,Elmid,gregTol_Genus Total Taxa,gregTol_Genus EPT Taxa,gregTol_Elmid,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,gregTol_FACLNTAX,gregTol_FACLPIND,gregTol_FACLPTAX,gregTol_INTLNTAX,gregTol_INTLPIND,gregTol_INTLPTAX,gregTol_NTOLNTAX,gregTol_NTOLPIND,gregTol_NTOLPTAX,gregTol_STOLNTAX,gregTol_STOLPIND,gregTol_STOLPTAX,gregTol_TL01NTAX,gregTol_TL01PIND,gregTol_TL01PTAX,gregTol_TL23NTAX,gregTol_TL23PIND,gregTol_TL23PTAX,gregTol_TL45NTAX,gregTol_TL45PIND,gregTol_TL45PTAX,gregTol_TL67NTAX,gregTol_TL67PIND,gregTol_TL67PTAX,gregTol_TOLRNTAX,gregTol_TOLRPIND,gregTol_TOLRPTAX,gregTol_WTD_TV,Genus HBI,BCGatt2&3,%BCGatt2&3,BCGatt5,%BCGatt5,%BCG_DO_att2&3,%BCG_DO_att5,%BCG_Acidity_att2&3,%BCG_Acidity_att5,%BCG_Alkalinity_att2&3,%BCG_Alkalinity_att5,%BCG_spCond_att2&3,%BCG_spCond_att5,%BCG_Chloride_att2&3,%BCG_Chloride_att5,%BCG_Sulfate_att2&3,%BCG_Sulfate_att5,%BCG_TNTP_att2&3,%BCG_TNTP_att5,%BCG_totHab_att2&3,%BCG_totHab_att5,%BCG_RBS_att2&3,%BCG_RBS_att5,%BCG_pctIMP_att2&3,%BCG_pctIMP_att5,gregTol_Genus HBI,gregTol_BCGatt2&3,gregTol_%BCGatt2&3,gregTol_BCGatt5,gregTol_%BCGatt5,gregTol_%BCG_DO_att2&3,gregTol_%BCG_DO_att5,gregTol_%BCG_Acidity_att2&3,gregTol_%BCG_Acidity_att5,gregTol_%BCG_Alkalinity_att2&3,gregTol_%BCG_Alkalinity_att5,gregTol_%BCG_spCond_att2&3,gregTol_%BCG_spCond_att5,gregTol_%BCG_Chloride_att2&3,gregTol_%BCG_Chloride_att5,gregTol_%BCG_Sulfate_att2&3,gregTol_%BCG_Sulfate_att5,gregTol_%BCG_TNTP_att2&3,gregTol_%BCG_TNTP_att5,gregTol_%BCG_totHab_att2&3,gregTol_%BCG_totHab_att5,gregTol_%BCG_RBS_att2&3,gregTol_%BCG_RBS_att5,gregTol_%BCG_pctIMP_att2&3,gregTol_%BCG_pctIMP_att5,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,Genus %2 Dominant,gregTol_Genus %2 Dominant,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,%Clinger-HS,gregTol_%Clinger-HS,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,%Collector,%GenusScraper,gregTol_%Collector,gregTol_%GenusScraper
ABR5893,1AABR000.78,Str,1,4/9/2014,Riffle,Spring,Mountain,0,0,31.51,6.67,0.46,6.67,34.7,20,1.37,6.67,22.83,33.33,22.83,33.33,0,0,1.83,6.67,0.46,6.67,26.48,33.33,0,0,21.92,6.67,0.91,6.67,20.55,20,1.369863014,17.35159817,31.50684932,5.479452055,1.369863014,6.666666667,13.33333333,1.369863014,17.35159817,31.50684932,5.479452055,1.369863014,6.666666667,13.33333333,15,0,1,1,3,1,5,5,0,1,1,5,0,1,1,3,15,5,2,15,5,2,8,43.84,53.33,0,0,0,4,6.39,26.67,3,35.62,20,0,0,0,0,0,0,4,6.39,26.67,8,57.99,53.33,7,56.16,46.67,7.35,8,43.84,53.33,0,0,0,4,6.39,26.67,3,35.62,20,0,0,0,0,0,0,4,6.39,26.67,8,57.99,53.33,7,56.16,46.67,7.35,7.307579909,1,7.692307692,3,23.07692308,25,8.333333333,58.33333333,8.333333333,33.33333333,0,8.333333333,41.66666667,25,0,8.333333333,16.66666667,8.333333333,33.33333333,16.66666667,33.33333333,0,8.333333333,25,41.66666667,7.346849315,1,7.692307692,3,23.07692308,25,8.333333333,58.33333333,8.333333333,33.33333333,0,8.333333333,41.66666667,25,0,8.333333333,16.66666667,8.333333333,33.33333333,16.66666667,33.33333333,0,8.333333333,25,41.66666667,1.96,31.51,68.49,85.84,100,100,100,53.42465753,53.42465753,0,0,0,0,0,0,9,42.01,60,2,0.91,13.33,0,0,0,36.98630137,36.98630137,5,21.92,33.33,3,20.55,20,5,27.85,33.33,1,0.91,6.67,2,15.98,13.33,0,0,0,49.7716895,15.98173516,49.7716895,15.98173516
BAR2868,1ABAR046.01,NA,1,4/11/2012,Riffle,Spring,Mountain,0,0,23.22,3.23,0,0,35.55,12.9,18.48,35.48,60.19,67.74,59.72,64.52,0,0,0,0,0,0,0.47,3.23,0.47,3.23,0.47,3.23,35.07,16.13,6.16,12.9,18.48341232,41.23222749,23.22274882,54.97630332,7.109004739,27.27272727,63.63636364,18.48341232,41.23222749,23.22274882,54.97630332,7.109004739,26.47058824,61.76470588,31,0,1,0,4,11,21,20,0,0,0,1,1,1,5,4,31,20,3,31,20,3,25,86.73,80.65,0,0,0,18,56.87,58.06,2,1.42,6.45,0,0,0,2,1.9,6.45,16,54.98,51.61,10,41.23,32.26,5,12.8,16.13,5.48,24,85.31,77.42,2,1.9,6.45,18,56.87,58.06,2,1.42,6.45,0,0,0,4,3.32,12.9,14,53.55,45.16,11,41.71,35.48,5,12.8,16.13,5.48,5.508737864,13,44.82758621,3,10.34482759,60.71428571,0,39.28571429,3.571428571,35.71428571,0,46.42857143,17.85714286,64.28571429,0,25,21.42857143,28.57142857,10.71428571,67.85714286,7.142857143,22.22222222,3.703703704,64.28571429,17.85714286,5.476908213,13,44.82758621,3,10.34482759,60.71428571,0,39.28571429,3.571428571,35.71428571,0,46.42857143,17.85714286,64.28571429,0,25,21.42857143,28.57142857,10.71428571,67.85714286,7.142857143,22.22222222,3.703703704,64.28571429,17.85714286,2.34,31.88,63.77,75.36,100,100,100,54.50236967,54.50236967,0,0,0,0,0,0,20,27.49,64.52,3,36.02,9.68,5,12.32,16.13,17.53554502,17.53554502,7,16.59,22.58,4,6.16,12.9,6,14.22,19.35,5,4.27,16.13,8,7.11,25.81,2,33.65,6.45,30.8056872,7.109004739,30.8056872,7.109004739
BAR9716,1ABAR052.96,Ref,1,4/27/2017,Riffle,Spring,Mountain,0,0,36.13,3.7,0,0,38.22,14.81,15.18,25.93,54.97,62.96,54.97,62.96,0,0,0.52,3.7,0,0,1.05,7.41,0,0,0.52,3.7,26.7,25.93,13.09,11.11,15.18324607,39.79057592,36.12565445,52.87958115,12.56544503,32.14285714,60.71428571,15.18324607,39.79057592,36.12565445,52.87958115,12.56544503,32.14285714,60.71428571,27,0,1,0,4,7,17,17,0,1,0,2,0,1,7,3,27,17,2,27,17,2,21,93.19,77.78,0,0,0,18,40.31,66.67,2,1.05,7.41,0,0,0,1,1.05,3.7,17,39.27,62.96,7,58.64,25.93,6,6.81,22.22,5.65,20,92.15,74.07,1,1.05,3.7,18,40.31,66.67,2,1.05,7.41,0,0,0,1,1.05,3.7,17,39.27,62.96,7,58.64,25.93,6,6.81,22.22,5.61,5.648263158,13,52,3,12,70.83333333,0,37.5,8.333333333,50,0,54.16666667,16.66666667,70.83333333,0,25,12.5,26.08695652,13.04347826,66.66666667,8.333333333,26.08695652,4.347826087,75,16.66666667,5.619631579,13,52,3,12,70.83333333,0,37.5,8.333333333,50,0,54.16666667,16.66666667,70.83333333,0,25,12.5,26.08695652,13.04347826,66.66666667,8.333333333,26.08695652,4.347826087,75,16.66666667,2.24,36.32,64.74,77.89,100,100,100,52.35602094,52.35602094,1,0.52,3.7,1,0.52,3.7,13,35.08,48.15,5,22.51,18.52,4,4.19,14.81,34.03141361,34.03141361,3,13.61,11.11,2,12.57,7.41,6,13.61,22.22,6,6.28,22.22,4,6.81,14.81,4,21.99,14.81,27.22513089,6.806282723,27.22513089,6.806282723
HOC7161,1AHOC002.83,Int,1,5/19/2015,Riffle,Spring,Mountain,0,0,5.79,4.35,0,0,6.84,13.04,18.42,21.74,30.53,52.17,30,47.83,0,0,0,0,2.63,13.04,4.74,21.74,0.53,4.35,1.05,4.35,7.89,8.7,3.68,17.39,18.42105263,11.05263158,5.789473684,24.21052632,5.263157895,8,40,18.42105263,11.05263158,5.789473684,24.21052632,5.263157895,8,40,23,0,1,0,3,5,12,11,0,0,3,5,1,1,2,4,23,11,2,23,11,2,17,78.95,73.91,0,0,0,11,31.58,47.83,3,3.16,13.04,0,0,0,1,2.63,4.35,10,28.95,43.48,9,65.26,39.13,6,21.05,26.09,6.06,16,76.32,69.57,1,2.63,4.35,11,31.58,47.83,3,3.16,13.04,0,0,0,1,2.63,4.35,10,28.95,43.48,9,65.26,39.13,6,21.05,26.09,6.03,6.096666667,2,10,2,10,50,0,50,0,25,0,15,20,50,0,10,15,10,20,30,15,10.52631579,5.263157895,31.57894737,31.57894737,6.071967213,2,10,2,10,50,0,50,0,25,0,15,20,50,0,10,15,10,20,30,15,10.52631579,5.263157895,31.57894737,31.57894737,2.22,37.16,62.3,73.77,100,100,100,52.63157895,52.63157895,2,1.05,8.7,0,0,0,13,75.79,56.52,2,1.58,8.7,3,13.68,13.04,74.73684211,74.73684211,6,4.74,26.09,3,3.16,13.04,6,18.42,26.09,2,7.37,8.7,6,62.11,26.09,2,1.58,8.7,23.15789474,62.10526316,23.15789474,62.10526316
ISC11091,1AISC004.64,Int,1,5/15/2018,Riffle,Spring,Mountain,1,4.55,54.23,4.55,1,4.55,57.21,13.64,17.91,45.45,29.85,68.18,29.85,68.18,0,0,0,0,0,0,2.99,9.09,0,0,1.99,4.55,10.45,13.64,1.49,9.09,17.91044776,11.94029851,54.22885572,21.89054726,13.43283582,20,60,17.91044776,11.94029851,54.22885572,21.89054726,13.43283582,20,60,22,1,1,1,3,10,15,15,0,0,0,2,0,1,3,2,22,15,0,22,15,0,16,87.06,72.73,0,0,0,11,27.86,50,2,2.99,9.09,0,0,0,1,0.5,4.55,10,27.36,45.45,7,63.18,31.82,4,6.97,18.18,5.65,15,86.57,68.18,1,0.5,4.55,11,27.86,50,2,2.99,9.09,0,0,0,1,0.5,4.55,10,27.36,45.45,7,63.18,31.82,4,6.97,18.18,5.63,6.008465608,6,31.57894737,2,10.52631579,57.89473684,0,47.36842105,5.263157895,31.57894737,0,31.57894737,10.52631579,68.42105263,0,26.31578947,15.78947368,10.52631579,15.78947368,47.36842105,5.263157895,15.78947368,10.52631579,57.89473684,26.31578947,5.991746032,6,31.57894737,2,10.52631579,57.89473684,0,47.36842105,5.263157895,31.57894737,0,31.57894737,10.52631579,68.42105263,0,26.31578947,15.78947368,10.52631579,15.78947368,47.36842105,5.263157895,15.78947368,10.52631579,57.89473684,26.31578947,1.91,54.23,68.16,78.11,100,100,100,61.19402985,61.19402985,1,1,4.55,0,0,0,9,18.91,40.91,3,5.47,13.64,7,18.41,31.82,16.91542289,16.91542289,4,4.48,18.18,2,1.49,9.09,9,17.41,40.91,2,11.94,9.09,3,7.46,13.64,3,4.48,13.64,21.89054726,7.462686567,21.89054726,7.462686567
OPE762,1AOPE028.72,Str,1,4/6/2010,Riffle,Spring,Mountain,0,0,15.51,9.09,0,0,15.51,9.09,0,0,1.6,18.18,1.6,18.18,0,0,0.53,9.09,1.07,9.09,2.67,36.36,0,0,0.53,9.09,0.53,9.09,1.07,9.09,0,1.604278075,15.50802139,0.534759358,0,0,9.090909091,0,1.604278075,15.50802139,0.534759358,0,0,9.090909091,11,0,1,0,1,0,2,2,0,1,1,4,0,1,1,1,11,2,3,11,2,3,7,89.3,63.64,0,0,0,4,5.88,36.36,3,2.67,27.27,0,0,0,0,0,0,4,5.88,36.36,4,91.44,36.36,4,10.7,36.36,6.2,7,89.3,63.64,0,0,0,4,5.88,36.36,3,2.67,27.27,0,0,0,0,0,0,4,5.88,36.36,4,91.44,36.36,4,10.7,36.36,6.2,6.19144385,0,0,2,20,33.33333333,0,66.66666667,0,44.44444444,0,11.11111111,44.44444444,22.22222222,0,0,11.11111111,11.11111111,33.33333333,22.22222222,33.33333333,11.11111111,11.11111111,33.33333333,44.44444444,6.196149733,0,0,2,20,33.33333333,0,66.66666667,0,44.44444444,0,11.11111111,44.44444444,22.22222222,0,0,11.11111111,11.11111111,33.33333333,22.22222222,33.33333333,11.11111111,11.11111111,33.33333333,44.44444444,1.13,67.38,90.91,96.26,100,100,100,82.88770053,82.88770053,0,0,0,0,0,0,5,81.28,45.45,2,1.6,18.18,0,0,0,81.28342246,81.28342246,2,2.14,18.18,1,1.07,9.09,3,1.6,27.27,0,0,0,3,79.68,27.27,1,0.53,9.09,3.743315508,79.67914439,3.743315508,79.67914439
OPE2869,1AOPE028.72,Str,1,4/11/2012,Riffle,Spring,Mountain,0,0,49.04,6.67,0,0,52.4,20,6.25,26.67,9.13,46.67,9.13,46.67,0,0,0,0,0,0,1.92,6.67,0,0,1.92,6.67,2.4,13.33,0.48,6.67,6.25,2.884615385,49.03846154,6.730769231,1.923076923,12.5,37.5,6.25,2.884615385,49.03846154,6.730769231,1.923076923,12.5,37.5,15,0,1,0,3,4,7,7,0,0,0,1,0,1,2,1,15,7,3,15,7,3,10,91.83,66.67,0,0,0,6,7.69,40,1,1.92,6.67,0,0,0,1,0.96,6.67,5,6.73,33.33,8,90.38,53.33,5,8.17,33.33,6.26,9,90.87,60,1,0.96,6.67,6,7.69,40,1,1.92,6.67,0,0,0,1,0.96,6.67,5,6.73,33.33,8,90.38,53.33,5,8.17,33.33,6.25,6.276945813,1,8.333333333,1,8.333333333,50,0,50,0,25,0,16.66666667,16.66666667,50,0,8.333333333,25,16.66666667,16.66666667,33.33333333,16.66666667,8.333333333,16.66666667,41.66666667,33.33333333,6.267586207,1,8.333333333,1,8.333333333,50,0,50,0,25,0,16.66666667,16.66666667,50,0,8.333333333,25,16.66666667,16.66666667,33.33333333,16.66666667,8.333333333,16.66666667,41.66666667,33.33333333,1.39,50.25,86.7,91.13,100,100,100,81.73076923,81.73076923,1,0.48,6.67,0,0,0,9,42.79,60,2,1.44,13.33,1,4.33,6.67,39.90384615,39.90384615,2,3.37,13.33,1,0.48,6.67,6,8.65,40,2,1.92,13.33,3,36.06,20,1,0.96,6.67,12.01923077,36.05769231,12.01923077,36.05769231
OPE5894,1AOPE028.72,Str,1,4/9/2014,Riffle,Spring,Mountain,0,0,48.06,5,0,0,49.03,15,8.74,20,18.45,50,18.45,50,0,0,0,0,0,0,9.22,10,0,0,6.8,5,1.46,5,8.25,25,8.737864078,9.223300971,48.05825243,11.65048544,8.737864078,15,20,8.737864078,9.223300971,48.05825243,11.65048544,8.737864078,15,20,20,0,1,0,3,4,10,10,0,0,0,2,0,1,1,5,20,10,3,20,10,3,13,75.73,65,0,0,0,9,15.05,45,2,13.11,10,0,0,0,1,3.4,5,8,11.65,40,9,71.84,45,7,24.27,35,6.5,12,72.33,60,1,3.4,5,9,15.05,45,2,13.11,10,0,0,0,1,3.4,5,8,11.65,40,9,71.84,45,7,24.27,35,6.47,6.473980583,3,17.64705882,3,17.64705882,47.05882353,0,64.70588235,0,23.52941176,0,11.76470588,41.17647059,35.29411765,0,5.882352941,23.52941176,17.64705882,17.64705882,41.17647059,11.76470588,11.76470588,11.76470588,35.29411765,41.17647059,6.470194175,3,17.64705882,3,17.64705882,47.05882353,0,64.70588235,0,23.52941176,0,11.76470588,41.17647059,35.29411765,0,5.882352941,23.52941176,17.64705882,17.64705882,41.17647059,11.76470588,11.76470588,11.76470588,35.29411765,41.17647059,1.96,48.06,66.99,80.1,100,100,100,58.73786408,58.73786408,0,0,0,0,0,0,14,39.32,70,3,3.4,15,0,0,0,38.83495146,38.83495146,3,7.28,15,3,7.28,15,7,18.45,35,4,2.91,20,5,23.3,25,0,0,0,25.72815534,23.30097087,25.72815534,23.30097087
OPE9717,1AOPE028.72,Str,1,5/16/2017,Riffle,Spring,Mountain,0,0,7.18,6.67,0,0,9.23,13.33,7.69,33.33,21.03,53.33,20.51,46.67,0,0,0,0,0.51,6.67,7.18,13.33,0.51,6.67,0,0,0,0,12.82,13.33,7.692307692,9.230769231,7.179487179,7.692307692,6.666666667,12.5,31.25,7.692307692,9.230769231,7.179487179,7.692307692,6.666666667,12.5,31.25,15,0,1,0,2,5,8,7,0,0,1,2,1,0,0,2,15,7,2,15,7,2,10,58.46,66.67,0,0,0,6,11.79,40,2,7.69,13.33,0,0,0,1,0.51,6.67,5,11.28,33.33,7,80.51,46.67,5,41.54,33.33,6.72,9,57.95,60,1,0.51,6.67,6,11.79,40,2,7.69,13.33,0,0,0,1,0.51,6.67,5,11.28,33.33,7,80.51,46.67,5,41.54,33.33,6.72,6.734764398,1,9.090909091,1,9.090909091,36.36363636,0,72.72727273,0,18.18181818,0,18.18181818,36.36363636,27.27272727,0,18.18181818,27.27272727,18.18181818,18.18181818,27.27272727,18.18181818,10,0,36.36363636,27.27272727,6.746701571,1,9.090909091,1,9.090909091,36.36363636,0,72.72727273,0,18.18181818,0,18.18181818,36.36363636,27.27272727,0,18.18181818,27.27272727,18.18181818,18.18181818,27.27272727,18.18181818,10,0,36.36363636,27.27272727,1.87,34.55,70.68,84.82,100,100,100,62.05128205,62.05128205,2,2.56,13.33,0,0,0,8,77.44,53.33,2,5.13,13.33,1,1.03,6.67,73.84615385,73.84615385,3,13.33,20,2,12.82,13.33,5,13.85,33.33,2,2.56,13.33,4,63.08,26.67,0,0,0,27.17948718,63.07692308,27.17948718,63.07692308
OPE7162,1AOPE036.13,Str,1,4/8/2015,Riffle,Spring,Mountain,0,0,28.23,4.17,0,0,30.62,12.5,15.31,20.83,23.92,50,23.44,45.83,0,0,0,0,0.48,4.17,8.61,12.5,0.48,4.17,6.22,4.17,2.87,8.33,5.26,16.67,15.31100478,8.133971292,28.22966507,20.57416268,14.35406699,16.66666667,29.16666667,15.31100478,8.133971292,28.22966507,20.57416268,14.35406699,16.66666667,29.16666667,24,0,1,0,3,5,12,11,0,0,1,3,1,1,2,4,24,11,5,24,11,5,17,65.07,70.83,0,0,0,13,22.49,54.17,3,9.57,12.5,0,0,0,1,0.48,4.17,12,22.01,50,8,67.94,33.33,7,34.93,29.17,6.47,16,64.59,66.67,1,0.48,4.17,13,22.49,54.17,3,9.57,12.5,0,0,0,1,0.48,4.17,12,22.01,50,8,67.94,33.33,7,34.93,29.17,6.47,6.460909091,3,14.28571429,3,14.28571429,38.0952381,4.761904762,66.66666667,0,33.33333333,0,23.80952381,28.57142857,42.85714286,4.761904762,14.28571429,14.28571429,19.04761905,23.80952381,28.57142857,14.28571429,15,10,33.33333333,38.0952381,6.466842105,3,14.28571429,3,14.28571429,38.0952381,4.761904762,66.66666667,0,33.33333333,0,23.80952381,28.57142857,42.85714286,4.761904762,14.28571429,14.28571429,19.04761905,23.80952381,28.57142857,14.28571429,15,10,33.33333333,38.0952381,2.41,28.23,55.5,70.33,100,100,100,43.06220096,43.06220096,0,0,0,0,0,0,17,52.63,70.83,2,9.57,8.33,1,0.96,4.17,50.71770335,50.71770335,4,6.7,16.67,3,4.78,12.5,9,25.36,37.5,3,2.39,12.5,6,35.89,25,1,1.44,4.17,32.05741627,35.88516746,32.05741627,35.88516746
