"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",138.59,0,0
"AMPHPTAX",148.37,0,0
"CHIRPIND",525.1,0,2
"CHIRPTAX",792.22,0,3
"CRUSPIND",44.94,0,0
"CRUSPTAX",76.62,0,0
"DIPTPIND",437.13,0,2
"DIPTPTAX",191.99,0,1
"EPHEPIND",573.53,0,2
"EPHEPTAX",259.3,0,2
"EPOTPIND",642.25,0,2
"EPOTPTAX",841.98,0,3
"EPT_PIND",645.45,0,2
"EPT_PTAX",882.88,0,3
"HEMIPIND",3.3,0.0692,0
"HEMIPTAX",3.3,0.0691,0
"MITEPIND",2.16,0.1418,0
"MITEPTAX",12.83,3e-04,0
"MOLLPIND",75.57,0,0
"MOLLPTAX",214.55,0,1
"NOINPIND",301.85,0,2
"NOINPTAX",580.76,0,2
"ODONPIND",11.1,9e-04,0
"ODONPTAX",58.38,0,0
"OLLEPIND",250.99,0,2
"OLLEPTAX",492.59,0,2
"PLECPIND",689.02,0,3
"PLECPTAX",679.42,0,3
"TRICPIND",23.76,0,0
"TRICPTAX",110.34,0,0
"X.Ephem",573.51,0,2
"X.PT...Hydropsychidae",264.85,0,2
"X.Chiro",525.12,0,2
"X.EPT.H.C",919.8,0,3
"X.Ephem.B",608.1,0,2
"X.EPT45",1037.74,0,3
"X.EPT65",930.25,0,3
"gregTol_.Ephem",573.51,0,2
"gregTol_.PT...Hydropsychidae",264.85,0,2
"gregTol_.Chiro",525.12,0,2
"gregTol_.EPT.H.C",919.8,0,3
"gregTol_.Ephem.B",608.1,0,2
"gregTol_.EPT45",1040.73,0,3
"gregTol_.EPT65",930.52,0,3
"TOTLNTAX",798.47,0,3
"AMPHNTAX",135.11,0,0
"CHIRNTAX",0.73,0.3943,0
"CRUSNTAX",34.84,0,0
"DIPTNTAX",61.26,0,0
"EPHENTAX",665.1,0,2
"EPOTNTAX",1087.57,0,3
"EPT_NTAX",1146.38,0,3
"HEMINTAX",3.3,0.0692,0
"MITENTAX",2.19,0.1389,0
"MOLLNTAX",115.43,0,0
"NOINNTAX",222.3,0,0
"ODONNTAX",16.83,0,0
"OLLENTAX",152.08,0,1
"PLECNTAX",879.24,0,3
"TRICNTAX",668.27,0,3
"Genus.Total.Taxa",798.47,0,3
"Genus.EPT.Taxa",1146.38,0,3
"Elmid",0.07,0.7853,0
"gregTol_Genus.Total.Taxa",798.47,0,3
