"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",7.78,0.0053,0
"AMPHPTAX",30.98,0,2
"CHIRPIND",3.19,0.0743,0
"CHIRPTAX",132.63,0,3
"CRUSPIND",17.58,0,0
"CRUSPTAX",25.75,0,1
"DIPTPIND",0.32,0.5698,0
"DIPTPTAX",36.62,0,2
"EPHEPIND",155.32,0,3
"EPHEPTAX",143.05,0,3
"EPOTPIND",119.7,0,3
"EPOTPTAX",139.98,0,3
"EPT_PIND",135.36,0,3
"EPT_PTAX",147.48,0,3
"HEMIPIND",8.56,0.0034,0
"HEMIPTAX",9.9,0.0016,0
"MITEPIND",3.18,0.0744,0
"MITEPTAX",1.46,0.2268,0
"MOLLPIND",31.25,0,1
"MOLLPTAX",76.12,0,2
"NOINPIND",71.5,0,2
"NOINPTAX",119.9,0,3
"ODONPIND",0.1,0.7478,0
"ODONPTAX",2.6,0.1068,0
"OLLEPIND",45.16,0,2
"OLLEPTAX",68.91,0,3
"PLECPIND",103.8,0,1
"PLECPTAX",100.4,0,1
"TRICPIND",62.37,0,2
"TRICPTAX",45.56,0,2
"X.Ephem",155.39,0,3
"X.PT...Hydropsychidae",101.05,0,3
"X.Chiro",3.19,0.074,0
"X.EPT.H.C",160.15,0,3
"X.Ephem.B",155.55,0,3
"X.EPT45",115.03,0,3
"X.EPT65",169.61,0,3
"gregTol_.Ephem",155.39,0,3
"gregTol_.PT...Hydropsychidae",101.05,0,3
"gregTol_.Chiro",3.19,0.074,0
"gregTol_.EPT.H.C",160.15,0,3
"gregTol_.Ephem.B",155.55,0,3
"gregTol_.EPT45",121.55,0,3
"gregTol_.EPT65",169.24,0,3
"TOTLNTAX",132.63,0,3
"AMPHNTAX",0.01,0.9312,0
"CHIRNTAX",0.63,0.4257,0
"CRUSNTAX",0.02,0.8894,0
"DIPTNTAX",4.32,0.0376,0
"EPHENTAX",166.8,0,3
"EPOTNTAX",165.66,0,3
"EPT_NTAX",174.13,0,3
"HEMINTAX",8.65,0.0033,0
"MITENTAX",3.56,0.0593,0
"MOLLNTAX",10.9,0.001,0
"NOINNTAX",13.26,3e-04,0
"ODONNTAX",6.08,0.0137,0
"OLLENTAX",5.91,0.0151,0
"PLECNTAX",105.28,0,1
"TRICNTAX",103.52,0,2
"Genus.Total.Taxa",132.63,0,3
"Genus.EPT.Taxa",174.13,0,3
"Elmid",113.64,0,3
"gregTol_Genus.Total.Taxa",132.63,0,3
"gregTol_Genus.EPT.Taxa",174.13,0,3
"gregTol_Elmid",113.64,0,3
"FACLNTAX",161.39,0,3
"FACLPIND",29.61,0,1
"FACLPTAX",146.08,0,3
"INTLNTAX",0.63,0.4257,0
"INTLPIND",0.63,0.4257,0
"INTLPTAX",0.63,0.4257,0
"NTOLNTAX",157.4,0,3
"NTOLPIND",80.39,0,2
"NTOLPTAX",130.4,0,3
"STOLNTAX",26.93,0,0
"STOLPIND",50.95,0,2
"STOLPTAX",132.96,0,3
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",24.72,0,0
"TL23PIND",24.7,0,0
"TL23PTAX",24.65,0,0
"TL45NTAX",156.07,0,3
"TL45PIND",78.63,0,2
"TL45PTAX",126.24,0,3
"TL67NTAX",80.21,0,2
"TL67PIND",10.27,0.0014,0
"TL67PTAX",3.59,0.0583,0
"TOLRNTAX",0.53,0.4678,0
"TOLRPIND",26.92,0,1
"TOLRPTAX",123.26,0,3
"WTD_TV",92.28,0,3
"gregTol_FACLNTAX",159.89,0,3
"gregTol_FACLPIND",22.8,0,0
"gregTol_FACLPTAX",137.07,0,3
"gregTol_INTLNTAX",19.15,0,0
"gregTol_INTLPIND",19.18,0,0
"gregTol_INTLPTAX",19.06,0,0
"gregTol_NTOLNTAX",157.4,0,3
"gregTol_NTOLPIND",80.39,0,2
"gregTol_NTOLPTAX",130.4,0,3
"gregTol_STOLNTAX",26.93,0,0
"gregTol_STOLPIND",50.95,0,2
"gregTol_STOLPTAX",132.96,0,3
"gregTol_TL01NTAX",0.63,0.4257,0
