"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",19.32,0,0
"AMPHPTAX",19.03,0,0
"CHIRPIND",12.8,3e-04,0
"CHIRPTAX",13.52,2e-04,0
"CRUSPIND",13.08,3e-04,0
"CRUSPTAX",12.1,5e-04,0
"DIPTPIND",6.73,0.0095,0
"DIPTPTAX",19.24,0,1
"EPHEPIND",2.59,0.1075,0
"EPHEPTAX",2.53,0.1114,0
"EPOTPIND",19.93,0,2
"EPOTPTAX",5.64,0.0175,0
"EPT_PIND",24.02,0,2
"EPT_PTAX",21.72,0,1
"HEMIPIND",8.67,0.0032,0
"HEMIPTAX",8.67,0.0032,0
"MITEPIND",16.37,1e-04,0
"MITEPTAX",7.69,0.0055,0
"MOLLPIND",37.34,0,2
"MOLLPTAX",48.16,0,2
"NOINPIND",25.78,0,2
"NOINPTAX",43.52,0,2
"ODONPIND",61.41,0,3
"ODONPTAX",62.72,0,2
"OLLEPIND",0.07,0.7935,0
"OLLEPTAX",0.44,0.506,0
"PLECPIND",3.68,0.055,0
"PLECPTAX",22.74,0,2
"TRICPIND",16.5,0,2
"TRICPTAX",7.81,0.0052,0
"X.Ephem",2.59,0.1075,0
"X.PT...Hydropsychidae",13.92,2e-04,0
"X.Chiro",12.79,3e-04,0
"X.EPT.H.C",8.97,0.0027,0
"X.Ephem.B",3.05,0.0808,0
"X.EPT45",37.87,0,2
"X.EPT65",9,0.0027,0
"gregTol_.Ephem",2.59,0.1075,0
"gregTol_.PT...Hydropsychidae",13.92,2e-04,0
"gregTol_.Chiro",12.79,3e-04,0
"gregTol_.EPT.H.C",8.97,0.0027,0
"gregTol_.Ephem.B",3.05,0.0808,0
"gregTol_.EPT45",40.58,0,2
"gregTol_.EPT65",9.21,0.0024,0
"TOTLNTAX",15.62,1e-04,0
"AMPHNTAX",21.49,0,0
"CHIRNTAX",0.58,0.4457,0
"CRUSNTAX",14.14,2e-04,0
"DIPTNTAX",5.97,0.0145,0
"EPHENTAX",0.1,0.747,0
"EPOTNTAX",0.84,0.3581,0
"EPT_NTAX",4.02,0.0448,0
"HEMINTAX",8.67,0.0032,0
"MITENTAX",12.69,4e-04,0
"MOLLNTAX",54.69,0,2
"NOINNTAX",52.14,0,3
"ODONNTAX",71.93,0,2
"OLLENTAX",0.39,0.5298,0
"PLECNTAX",15.23,1e-04,0
"TRICNTAX",0.42,0.5152,0
"Genus.Total.Taxa",15.62,1e-04,0
"Genus.EPT.Taxa",4.02,0.0448,0
"Elmid",4.24,0.0396,0
"gregTol_Genus.Total.Taxa",15.62,1e-04,0
"gregTol_Genus.EPT.Taxa",4.02,0.0448,0
"gregTol_Elmid",4.24,0.0396,0
"FACLNTAX",1.45,0.2289,0
"FACLPIND",0.43,0.514,0
"FACLPTAX",21.52,0,1
"INTLNTAX",16.49,0,0
"INTLPIND",16.1,1e-04,0
"INTLPTAX",15.65,1e-04,0
"NTOLNTAX",3.46,0.0628,0
"NTOLPIND",2.86,0.0909,0
"NTOLPTAX",26.92,0,2
"STOLNTAX",27.12,0,1
"STOLPIND",0.12,0.7323,0
"STOLPTAX",16.05,1e-04,1
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",42.52,0,2
"TL23PIND",36.36,0,2
"TL23PTAX",47.43,0,3
"TL45NTAX",0.93,0.3343,0
"TL45PIND",0.03,0.8721,0
"TL45PTAX",3.76,0.0524,0
"TL67NTAX",25.63,0,1
"TL67PIND",7.22,0.0072,0
"TL67PTAX",11.29,8e-04,1
"TOLRNTAX",32.87,0,2
"TOLRPIND",0.6,0.4384,0
"TOLRPTAX",20.03,0,2
"WTD_TV",5.51,0.0189,0
"gregTol_FACLNTAX",10.25,0.0014,0
"gregTol_FACLPIND",2.25,0.1333,0
"gregTol_FACLPTAX",0.88,0.3495,0
"gregTol_INTLNTAX",45.56,0,3
"gregTol_INTLPIND",38.94,0,3
"gregTol_INTLPTAX",47.96,0,3
"gregTol_NTOLNTAX",3.46,0.0628,0
"gregTol_NTOLPIND",2.86,0.0909,0
"gregTol_NTOLPTAX",26.92,0,2
"gregTol_STOLNTAX",27.12,0,1
"gregTol_STOLPIND",0.12,0.7323,0
"gregTol_STOLPTAX",16.05,1e-04,1
"gregTol_TL01NTAX",14.9,1e-04,0
"gregTol_TL01PIND",14.57,1e-04,0
"gregTol_TL01PTAX",14.14,2e-04,0
"gregTol_TL23NTAX",41.54,0,1
"gregTol_TL23PIND",29.7,0,2
"gregTol_TL23PTAX",46.81,0,2
"gregTol_TL45NTAX",4.7,0.0301,0
"gregTol_TL45PIND",0.34,0.5611,0
"gregTol_TL45PTAX",0.33,0.5671,0
"gregTol_TL67NTAX",26.07,0,1
"gregTol_TL67PIND",7.26,0.0071,0
"gregTol_TL67PTAX",11.41,7e-04,1
"gregTol_TOLRNTAX",32.87,0,2
"gregTol_TOLRPIND",0.6,0.4384,0
"gregTol_TOLRPTAX",20.03,0,2
"gregTol_WTD_TV",7.47,0.0063,0
"Genus.HBI",8.74,0.0031,0
"BCGatt2.3",32.14,0,2
