"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",74.79,0,0
"AMPHPTAX",81.14,0,0
"CHIRPIND",430.68,0,3
"CHIRPTAX",454.28,0,3
"CRUSPIND",13.12,3e-04,0
"CRUSPTAX",27.49,0,0
"DIPTPIND",395.29,0,3
"DIPTPTAX",133.35,0,1
"EPHEPIND",403.49,0,3
"EPHEPTAX",165.43,0,2
"EPOTPIND",501.45,0,3
"EPOTPTAX",475.38,0,3
"EPT_PIND",499.35,0,3
"EPT_PTAX",495.1,0,3
"HEMIPIND",1.84,0.1751,0
"HEMIPTAX",1.85,0.1739,0
"MITEPIND",2.99,0.0836,0
"MITEPTAX",9.1,0.0026,0
"MOLLPIND",41.54,0,0
"MOLLPTAX",98.87,0,1
"NOINPIND",192.6,0,2
"NOINPTAX",322.75,0,2
"ODONPIND",1.23,0.2665,0
"ODONPTAX",15.73,1e-04,0
"OLLEPIND",163.08,0,2
"OLLEPTAX",309.77,0,3
"PLECPIND",419.71,0,3
"PLECPTAX",359.61,0,3
"TRICPIND",38.71,0,0
"TRICPTAX",56.44,0,0
"X.Ephem",403.52,0,3
"X.PT...Hydropsychidae",270.05,0,2
"X.Chiro",430.68,0,3
"X.EPT.H.C",567.11,0,3
"X.Ephem.B",460.77,0,3
"X.EPT45",586.61,0,3
"X.EPT65",541.7,0,3
"gregTol_.Ephem",403.52,0,3
"gregTol_.PT...Hydropsychidae",270.05,0,2
"gregTol_.Chiro",430.68,0,3
"gregTol_.EPT.H.C",567.11,0,3
"gregTol_.Ephem.B",460.77,0,3
"gregTol_.EPT45",587.01,0,3
"gregTol_.EPT65",541.93,0,3
"TOTLNTAX",459.35,0,3
"AMPHNTAX",73.35,0,0
"CHIRNTAX",0.17,0.6818,0
"CRUSNTAX",10.82,0.001,0
"DIPTNTAX",50.95,0,0
"EPHENTAX",401.86,0,3
"EPOTNTAX",596.09,0,3
"EPT_NTAX",623.71,0,3
"HEMINTAX",1.85,0.1742,0
"MITENTAX",3.67,0.0554,0
"MOLLNTAX",55.51,0,0
"NOINNTAX",113.23,0,0
"ODONNTAX",2.48,0.115,0
"OLLENTAX",98.66,0,1
"PLECNTAX",491.24,0,3
"TRICNTAX",366.89,0,2
"Genus.Total.Taxa",459.35,0,3
"Genus.EPT.Taxa",623.71,0,3
"Elmid",0.02,0.8814,0
"gregTol_Genus.Total.Taxa",459.35,0,3
"gregTol_Genus.EPT.Taxa",623.71,0,3
"gregTol_Elmid",0.02,0.8814,0
"FACLNTAX",586.94,0,3
"FACLPIND",279.06,0,2
"FACLPTAX",543.73,0,3
"INTLNTAX",117.01,0,0
"INTLPIND",119.83,0,0
"INTLPTAX",103.79,0,0
"NTOLNTAX",610.45,0,3
"NTOLPIND",585.86,0,3
"NTOLPTAX",588.38,0,3
"STOLNTAX",202.03,0,1
"STOLPIND",280.43,0,2
"STOLPTAX",482.11,0,3
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",456.37,0,2
"TL23PIND",434.97,0,3
"TL23PTAX",391.2,0,3
"TL45NTAX",547.62,0,3
"TL45PIND",544.46,0,3
"TL45PTAX",418.2,0,3
"TL67NTAX",0.28,0.5961,0
"TL67PIND",450.08,0,3
"TL67PTAX",432.83,0,3
"TOLRNTAX",169.84,0,1
"TOLRPIND",315.94,0,2
"TOLRPTAX",565.91,0,3
"WTD_TV",595.23,0,3
"gregTol_FACLNTAX",541.17,0,3
"gregTol_FACLPIND",134.93,0,2
"gregTol_FACLPTAX",345.72,0,2
"gregTol_INTLNTAX",410.65,0,2
"gregTol_INTLPIND",396.19,0,3
"gregTol_INTLPTAX",337.31,0,2
"gregTol_NTOLNTAX",610.45,0,3
"gregTol_NTOLPIND",585.86,0,3
"gregTol_NTOLPTAX",588.38,0,3
"gregTol_STOLNTAX",202.03,0,1
"gregTol_STOLPIND",280.43,0,2
"gregTol_STOLPTAX",482.11,0,3
"gregTol_TL01NTAX",107.73,0,0
"gregTol_TL01PIND",110.88,0,0
"gregTol_TL01PTAX",95.54,0,0
"gregTol_TL23NTAX",542.76,0,3
"gregTol_TL23PIND",532.78,0,3
"gregTol_TL23PTAX",493.94,0,3
"gregTol_TL45NTAX",486.3,0,3
"gregTol_TL45PIND",463.62,0,3
"gregTol_TL45PTAX",252.16,0,2
"gregTol_TL67NTAX",0.28,0.5998,0
"gregTol_TL67PIND",450.16,0,3
"gregTol_TL67PTAX",434.77,0,3
"gregTol_TOLRNTAX",169.84,0,1
"gregTol_TOLRPIND",315.94,0,2
"gregTol_TOLRPTAX",565.91,0,3
"gregTol_WTD_TV",601.65,0,3
"Genus.HBI",599.99,0,3
"BCGatt2.3",666.22,0,3
"X.BCGatt2.3",604.56,0,3
"BCGatt5",185.21,0,1
"X.BCGatt5",493.47,0,3
"X.BCG_DO_att2.3",498.87,0,3
"X.BCG_DO_att5",117.24,0,0
"X.BCG_Acidity_att2.3",5.37,0.0205,0
"X.BCG_Acidity_att5",54.27,0,1
"X.BCG_Alkalinity_att2.3",64.97,0,1
"X.BCG_Alkalinity_att5",51.3,0,0
"X.BCG_spCond_att2.3",522.17,0,3
"X.BCG_spCond_att5",474.14,0,3
"X.BCG_Chloride_att2.3",535.02,0,3
"X.BCG_Chloride_att5",49.87,0,0
"X.BCG_Sulfate_att2.3",175.39,0,2
"X.BCG_Sulfate_att5",78.54,0,1
"X.BCG_TNTP_att2.3",511.41,0,3
"X.BCG_TNTP_att5",567.95,0,3
"X.BCG_totHab_att2.3",596.48,0,3
"X.BCG_totHab_att5",442.65,0,3
"X.BCG_RBS_att2.3",461.53,0,3
"X.BCG_RBS_att5",327.95,0,3
"X.BCG_pctIMP_att2.3",545.3,0,3
"X.BCG_pctIMP_att5",495.7,0,3
"gregTol_Genus.HBI",606.1,0,3
"gregTol_BCGatt2.3",666.22,0,3
"gregTol_.BCGatt2.3",604.56,0,3
"gregTol_BCGatt5",185.21,0,1
"gregTol_.BCGatt5",493.47,0,3
"gregTol_.BCG_DO_att2.3",498.87,0,3
