"METRIC","REDUND_MET"
"AMPHPIND","SWIMPIND"
"AMPHPTAX","CRUSPTAX,AMPHNTAX"
"CHIRPIND","DIPTPIND,X.Chiro,gregTol_.Chiro"
"CHIRPTAX","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa"
"CRUSPIND","COGAPIND"
"CRUSPTAX","AMPHPTAX,CRUSNTAX"
"DIPTPIND","CHIRPIND,X.Chiro,gregTol_.Chiro"
"DIPTPTAX",""
"EPHEPIND","EPOTPIND,EPT_PIND,X.Ephem,X.EPT.H.C,X.Ephem.B,gregTol_.Ephem,gregTol_.EPT.H.C,gregTol_.Ephem.B"
"EPHEPTAX","EPT_PTAX,X.EPT65,gregTol_.EPT65,EPHENTAX"
"EPOTPIND","EPHEPIND,EPT_PIND,X.Ephem,X.EPT.H.C,gregTol_.Ephem,gregTol_.EPT.H.C"
"EPOTPTAX","EPT_PTAX,X.EPT65,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"EPT_PIND","EPHEPIND,EPOTPIND,X.Ephem,X.EPT.H.C,gregTol_.Ephem,gregTol_.EPT.H.C"
"EPT_PTAX","EPHEPTAX,EPOTPTAX,X.EPT65,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"HEMIPIND",""
"HEMIPTAX","HEMINTAX"
"MITEPIND",""
"MITEPTAX","MITENTAX"
"MOLLPIND",""
"MOLLPTAX","NOINPTAX,MOLLNTAX"
"NOINPIND",""
"NOINPTAX","MOLLPTAX"
"ODONPIND",""
"ODONPTAX","ODONNTAX"
"OLLEPIND",""
"OLLEPTAX",""
"PLECPIND",""
"PLECPTAX","PLECNTAX"
"TRICPIND","X.PT...Hydropsychidae,gregTol_.PT...Hydropsychidae,COFITRICPIND"
"TRICPTAX","TRICNTAX"
"X.Ephem","EPHEPIND,EPOTPIND,EPT_PIND,X.EPT.H.C,X.Ephem.B,gregTol_.Ephem,gregTol_.EPT.H.C,gregTol_.Ephem.B"
