"METRIC","REDUND_MET"
"AMPHPIND",""
"AMPHPTAX",""
"CHIRPIND",""
"CHIRPTAX",""
"CRUSPIND",""
"CRUSPTAX",""
"DIPTPIND",""
"DIPTPTAX",""
"EPHEPIND",""
"EPHEPTAX",""
"EPOTPIND",""
"EPOTPTAX",""
"EPT_PIND",""
"EPT_PTAX",""
"HEMIPIND",""
"HEMIPTAX",""
"MITEPIND",""
"MITEPTAX",""
"MOLLPIND",""
"MOLLPTAX",""
"NOINPIND",""
"NOINPTAX",""
"ODONPIND",""
"ODONPTAX",""
"OLLEPIND",""
"OLLEPTAX",""
"PLECPIND",""
"PLECPTAX",""
"TRICPIND",""
"TRICPTAX",""
"X.Ephem","gregTol_.Ephem"
"X.PT...Hydropsychidae","gregTol_.PT...Hydropsychidae"
"X.Chiro","gregTol_.Chiro"
"X.EPT.H.C",""
"X.Ephem.B","gregTol_.Ephem.B"
"X.EPT45",""
"X.EPT65",""
"gregTol_.Ephem","X.Ephem"
"gregTol_.PT...Hydropsychidae","X.PT...Hydropsychidae"
"gregTol_.Chiro","X.Chiro"
"gregTol_.EPT.H.C",""
"gregTol_.Ephem.B","X.Ephem.B"
"gregTol_.EPT45",""
"gregTol_.EPT65",""
"TOTLNTAX","Genus.Total.Taxa,gregTol_Genus.Total.Taxa"
"AMPHNTAX",""
"CHIRNTAX",""
"CRUSNTAX",""
"DIPTNTAX",""
"EPHENTAX",""
"EPOTNTAX",""
"EPT_NTAX",""
"HEMINTAX",""
"MITENTAX",""
"MOLLNTAX",""
"NOINNTAX",""
"ODONNTAX",""
"OLLENTAX",""
"PLECNTAX",""
"TRICNTAX",""
"Genus.Total.Taxa","TOTLNTAX,gregTol_Genus.Total.Taxa"
"Genus.EPT.Taxa",""
"Elmid","gregTol_Elmid"
"gregTol_Genus.Total.Taxa","TOTLNTAX,Genus.Total.Taxa"
"gregTol_Genus.EPT.Taxa",""
"gregTol_Elmid","Elmid"
"FACLNTAX",""
"FACLPIND",""
"FACLPTAX",""
"INTLNTAX",""
"INTLPIND",""
"INTLPTAX",""
"NTOLNTAX","gregTol_NTOLNTAX"
"NTOLPIND",""
"NTOLPTAX","gregTol_NTOLPTAX"
"STOLNTAX","gregTol_STOLNTAX"
"STOLPIND","gregTol_STOLPIND"
"STOLPTAX",""
"TL01NTAX",""
"TL01PIND",""
"TL01PTAX",""
"TL23NTAX",""
"TL23PIND",""
"TL23PTAX",""
"TL45NTAX",""
"TL45PIND",""
"TL45PTAX",""
"TL67NTAX",""
"TL67PIND",""
"TL67PTAX",""
"TOLRNTAX","gregTol_TOLRNTAX"
"TOLRPIND","gregTol_TOLRPIND"
"TOLRPTAX","gregTol_TOLRPTAX"
"WTD_TV",""
"gregTol_FACLNTAX",""
"gregTol_FACLPIND",""
"gregTol_FACLPTAX",""
"gregTol_INTLNTAX",""
"gregTol_INTLPIND",""
"gregTol_INTLPTAX",""
"gregTol_NTOLNTAX","NTOLNTAX"
"gregTol_NTOLPIND",""
"gregTol_NTOLPTAX","NTOLPTAX"
"gregTol_STOLNTAX","STOLNTAX"
"gregTol_STOLPIND","STOLPIND"
"gregTol_STOLPTAX",""
"gregTol_TL01NTAX",""
"gregTol_TL01PIND",""
"gregTol_TL01PTAX",""
"gregTol_TL23NTAX",""
"gregTol_TL23PIND",""
"gregTol_TL23PTAX",""
"gregTol_TL45NTAX",""
"gregTol_TL45PIND",""
"gregTol_TL45PTAX",""
"gregTol_TL67NTAX",""
"gregTol_TL67PIND",""
"gregTol_TL67PTAX",""
"gregTol_TOLRNTAX","TOLRNTAX"
"gregTol_TOLRPIND","TOLRPIND"
"gregTol_TOLRPTAX","TOLRPTAX"
"gregTol_WTD_TV",""
"Genus.HBI",""
"BCGatt2.3",""
"X.BCGatt2.3",""
"BCGatt5",""
"X.BCGatt5","gregTol_.BCGatt5"
"X.BCG_DO_att2.3","gregTol_.BCG_DO_att2.3"
"X.BCG_DO_att5","gregTol_.BCG_DO_att5"
"X.BCG_Acidity_att2.3","gregTol_.BCG_Acidity_att2.3"
"X.BCG_Acidity_att5","gregTol_.BCG_Acidity_att5"
"X.BCG_Alkalinity_att2.3","gregTol_.BCG_Alkalinity_att2.3"
"X.BCG_Alkalinity_att5","gregTol_.BCG_Alkalinity_att5"
"X.BCG_spCond_att2.3","gregTol_.BCG_spCond_att2.3"
"X.BCG_spCond_att5","gregTol_.BCG_spCond_att5"
"X.BCG_Chloride_att2.3","gregTol_.BCG_Chloride_att2.3"
"X.BCG_Chloride_att5",""
"X.BCG_Sulfate_att2.3","gregTol_.BCG_Sulfate_att2.3"
"X.BCG_Sulfate_att5","gregTol_.BCG_Sulfate_att5"
"X.BCG_TNTP_att2.3","gregTol_.BCG_TNTP_att2.3"
"X.BCG_TNTP_att5",""
"X.BCG_totHab_att2.3",""
"X.BCG_totHab_att5",""
"X.BCG_RBS_att2.3","gregTol_.BCG_RBS_att2.3"
"X.BCG_RBS_att5","gregTol_.BCG_RBS_att5"
"X.BCG_pctIMP_att2.3","gregTol_.BCG_pctIMP_att2.3"
"X.BCG_pctIMP_att5","gregTol_.BCG_pctIMP_att5"
"gregTol_Genus.HBI",""
"gregTol_BCGatt2.3",""
"gregTol_.BCGatt2.3",""
"gregTol_BCGatt5",""
"gregTol_.BCGatt5","X.BCGatt5"
"gregTol_.BCG_DO_att2.3","X.BCG_DO_att2.3"
"gregTol_.BCG_DO_att5","X.BCG_DO_att5"
"gregTol_.BCG_Acidity_att2.3","X.BCG_Acidity_att2.3"
"gregTol_.BCG_Acidity_att5","X.BCG_Acidity_att5"
"gregTol_.BCG_Alkalinity_att2.3","X.BCG_Alkalinity_att2.3"
"gregTol_.BCG_Alkalinity_att5","X.BCG_Alkalinity_att5"
"gregTol_.BCG_spCond_att2.3","X.BCG_spCond_att2.3"
"gregTol_.BCG_spCond_att5","X.BCG_spCond_att5"
"gregTol_.BCG_Chloride_att2.3","X.BCG_Chloride_att2.3"
"gregTol_.BCG_Chloride_att5",""
"gregTol_.BCG_Sulfate_att2.3","X.BCG_Sulfate_att2.3"
"gregTol_.BCG_Sulfate_att5","X.BCG_Sulfate_att5"
"gregTol_.BCG_TNTP_att2.3","X.BCG_TNTP_att2.3"
"gregTol_.BCG_TNTP_att5",""
"gregTol_.BCG_totHab_att2.3",""
"gregTol_.BCG_totHab_att5",""
"gregTol_.BCG_RBS_att2.3","X.BCG_RBS_att2.3"
"gregTol_.BCG_RBS_att5","X.BCG_RBS_att5"
"gregTol_.BCG_pctIMP_att2.3","X.BCG_pctIMP_att2.3"
"gregTol_.BCG_pctIMP_att5","X.BCG_pctIMP_att5"
"HPRIME",""
"DOM1PIND",""
"DOM3PIND",""
"DOM5PIND",""
"CHIRDOM1PIND","CHIRDOM3PIND,CHIRDOM5PIND"
"CHIRDOM3PIND","CHIRDOM1PIND,CHIRDOM5PIND"
"CHIRDOM5PIND","CHIRDOM1PIND,CHIRDOM3PIND"
"Genus..2.Dominant",""
"gregTol_Genus..2.Dominant",""
"BURRNTAX",""
"BURRPIND",""
"BURRPTAX",""
"CLMBNTAX",""
"CLMBPIND",""
"CLMBPTAX",""
"CLNGNTAX",""
"CLNGPIND",""
"CLNGPTAX",""
"SPWLNTAX",""
"SPWLPIND",""
"SPWLPTAX",""
"SWIMNTAX",""
"SWIMPIND",""
"SWIMPTAX",""
"X.Clinger.HS","gregTol_.Clinger.HS"
"gregTol_.Clinger.HS","X.Clinger.HS"
"COFINTAX",""
"COFIPIND",""
"COFIPTAX",""
"COFITRICNTAX",""
"COFITRICPIND",""
"COFITRICPTAX",""
"COGANTAX",""
"COGAPIND",""
"COGAPTAX",""
"PREDNTAX",""
"PREDPIND",""
"PREDPTAX",""
"SCRPNTAX",""
"SCRPPIND",""
"SCRPPTAX",""
"SHRDNTAX",""
"SHRDPIND",""
"SHRDPTAX",""
"X.Collector","gregTol_.Collector"
"X.GenusScraper","gregTol_.GenusScraper"
"gregTol_.Collector","X.Collector"
"gregTol_.GenusScraper","X.GenusScraper"
