"METRIC","REDUND_MET"
"AMPHPIND",""
"AMPHPTAX","AMPHNTAX"
"CHIRPIND","DIPTPIND,X.Chiro,gregTol_.Chiro"
"CHIRPTAX",""
"CRUSPIND",""
"CRUSPTAX","CRUSNTAX"
"DIPTPIND","CHIRPIND,X.Chiro,gregTol_.Chiro"
"DIPTPTAX",""
"EPHEPIND","X.Ephem,X.Ephem.B,gregTol_.Ephem,gregTol_.Ephem.B"
"EPHEPTAX","EPHENTAX"
"EPOTPIND","EPT_PIND"
"EPOTPTAX","EPT_PTAX,X.EPT65,gregTol_.EPT65"
"EPT_PIND","EPOTPIND"
"EPT_PTAX","EPOTPTAX,X.EPT65,gregTol_.EPT65"
"HEMIPIND",""
"HEMIPTAX","HEMINTAX"
"MITEPIND",""
"MITEPTAX","MITENTAX"
"MOLLPIND",""
"MOLLPTAX","MOLLNTAX"
"NOINPIND",""
"NOINPTAX","NOINNTAX"
"ODONPIND",""
"ODONPTAX","ODONNTAX"
"OLLEPIND",""
"OLLEPTAX","OLLENTAX"
"PLECPIND","SHRDPIND"
"PLECPTAX","PLECNTAX"
"TRICPIND","COFIPIND,COFITRICPIND"
"TRICPTAX",""
"X.Ephem","EPHEPIND,X.Ephem.B,gregTol_.Ephem,gregTol_.Ephem.B"
"X.PT...Hydropsychidae","gregTol_.PT...Hydropsychidae"
"X.Chiro","CHIRPIND,DIPTPIND,gregTol_.Chiro"
"X.EPT.H.C","gregTol_.EPT.H.C"
"X.Ephem.B","EPHEPIND,X.Ephem,gregTol_.Ephem,gregTol_.Ephem.B"
"X.EPT45","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3"
"X.EPT65","EPOTPTAX,EPT_PTAX,X.EPT45,gregTol_.EPT45,gregTol_.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.Ephem","EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem.B"
"gregTol_.PT...Hydropsychidae","X.PT...Hydropsychidae"
"gregTol_.Chiro","CHIRPIND,DIPTPIND,X.Chiro"
"gregTol_.EPT.H.C","X.EPT.H.C"
"gregTol_.Ephem.B","EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem"
"gregTol_.EPT45","X.EPT45,X.EPT65,gregTol_.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3"
"gregTol_.EPT65","EPOTPTAX,EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"TOTLNTAX","EPOTNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"AMPHNTAX","AMPHPTAX"
"CHIRNTAX","CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND"
"CRUSNTAX","CRUSPTAX"
"DIPTNTAX",""
"EPHENTAX","EPHEPTAX"
"EPOTNTAX","TOTLNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"EPT_NTAX","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,EPOTNTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"HEMINTAX","HEMIPTAX"
"MITENTAX","MITEPTAX"
"MOLLNTAX","MOLLPTAX,NOINNTAX"
"NOINNTAX","NOINPTAX,MOLLNTAX"
"ODONNTAX","ODONPTAX"
"OLLENTAX","OLLEPTAX"
"PLECNTAX","PLECPTAX"
"TRICNTAX",""
"Genus.Total.Taxa","TOTLNTAX,EPOTNTAX,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"Genus.EPT.Taxa","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"Elmid","gregTol_Elmid"
"gregTol_Genus.Total.Taxa","TOTLNTAX,EPOTNTAX,Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"gregTol_Genus.EPT.Taxa","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3"
"gregTol_Elmid","Elmid"
"FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
"FACLPIND","TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"FACLPTAX","NTOLPTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"INTLNTAX","INTLPTAX"
"INTLPIND",""
"INTLPTAX","INTLNTAX"
"NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"NTOLPIND","TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
