"METRIC","REDUND_MET"
"AMPHPIND",""
"AMPHPTAX","AMPHNTAX"
"CHIRPIND","DIPTPIND,X.Chiro,gregTol_.Chiro"
"CHIRPTAX","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa"
"CRUSPIND",""
"CRUSPTAX","CRUSNTAX"
"DIPTPIND","CHIRPIND,X.Chiro,gregTol_.Chiro"
"DIPTPTAX",""
"EPHEPIND","X.Ephem,X.Ephem.B,gregTol_.Ephem,gregTol_.Ephem.B"
"EPHEPTAX","EPHENTAX"
"EPOTPIND","EPT_PIND,X.EPT.H.C,gregTol_.EPT.H.C"
"EPOTPTAX","EPT_PTAX,X.EPT65,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"EPT_PIND","EPOTPIND,X.EPT.H.C,gregTol_.EPT.H.C"
"EPT_PTAX","EPOTPTAX,X.EPT65,gregTol_.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att2.3"
"HEMIPIND",""
"HEMIPTAX","HEMINTAX"
"MITEPIND",""
"MITEPTAX","MITENTAX"
"MOLLPIND",""
"MOLLPTAX","MOLLNTAX"
"NOINPIND",""
"NOINPTAX","NOINNTAX"
"ODONPIND",""
"ODONPTAX","ODONNTAX"
"OLLEPIND",""
"OLLEPTAX",""
"PLECPIND","SHRDPIND"
"PLECPTAX","PLECNTAX"
"TRICPIND","COFITRICPIND"
"TRICPTAX",""
"X.Ephem","EPHEPIND,X.Ephem.B,gregTol_.Ephem,gregTol_.Ephem.B"
"X.PT...Hydropsychidae","gregTol_.PT...Hydropsychidae"
"X.Chiro","CHIRPIND,DIPTPIND,gregTol_.Chiro"
"X.EPT.H.C","EPOTPIND,EPT_PIND,gregTol_.EPT.H.C,NTOLPIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"X.Ephem.B","EPHEPIND,X.Ephem,gregTol_.Ephem,gregTol_.Ephem.B"
"X.EPT45","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,gregTol_TL23NTAX,gregTol_TL23PTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.EPT65","EPOTPTAX,EPT_PTAX,X.EPT45,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.Ephem","EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem.B"
"gregTol_.PT...Hydropsychidae","X.PT...Hydropsychidae"
"gregTol_.Chiro","CHIRPIND,DIPTPIND,X.Chiro"
"gregTol_.EPT.H.C","EPOTPIND,EPT_PIND,X.EPT.H.C,NTOLPIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_.Ephem.B","EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem"
"gregTol_.EPT45","X.EPT45,X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.EPT65","EPOTPTAX,EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"TOTLNTAX","CHIRPTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND,CLNGNTAX"
"AMPHNTAX","AMPHPTAX"
"CHIRNTAX","CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND"
"CRUSNTAX","CRUSPTAX"
"DIPTNTAX",""
"EPHENTAX","EPHEPTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"EPOTNTAX","EPOTPTAX,TOTLNTAX,EPHENTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"EPT_NTAX","EPOTPTAX,EPT_PTAX,TOTLNTAX,EPHENTAX,EPOTNTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"HEMINTAX","HEMIPTAX"
"MITENTAX","MITEPTAX"
"MOLLNTAX","MOLLPTAX"
"NOINNTAX","NOINPTAX"
"ODONNTAX","ODONPTAX"
"OLLENTAX",""
"PLECNTAX","PLECPTAX"
"TRICNTAX",""
"Genus.Total.Taxa","CHIRPTAX,TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND,CLNGNTAX"
"Genus.EPT.Taxa","EPOTPTAX,EPT_PTAX,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"Elmid","gregTol_Elmid"
