"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",4.82,0.0281,0
"AMPHPTAX",10.65,0.0011,1
"CHIRPIND",2.53,0.1116,0
"CHIRPTAX",68.38,0,3
"CRUSPIND",12.89,3e-04,2
"CRUSPTAX",11.68,6e-04,0
"DIPTPIND",0.97,0.3238,0
"DIPTPTAX",12.47,4e-04,1
"EPHEPIND",78.37,0,3
"EPHEPTAX",68.21,0,3
"EPOTPIND",59.07,0,3
"EPOTPTAX",73.97,0,3
"EPT_PIND",66.91,0,3
"EPT_PTAX",75.29,0,3
"HEMIPIND",2.8,0.0941,0
"HEMIPTAX",3.5,0.0613,0
"MITEPIND",3.47,0.0625,0
"MITEPTAX",1.63,0.202,0
"MOLLPIND",15.76,1e-04,1
"MOLLPTAX",41.3,0,2
"NOINPIND",37.17,0,2
"NOINPTAX",63.7,0,3
"ODONPIND",0.01,0.9399,0
"ODONPTAX",0.92,0.3369,0
"OLLEPIND",28.39,0,2
"OLLEPTAX",39.6,0,3
"PLECPIND",43.12,0,1
"PLECPTAX",44.44,0,1
"TRICPIND",35.64,0,2
"TRICPTAX",28.16,0,2
"%Ephem",78.4,0,3
"%PT - Hydropsychidae",47.24,0,3
"%Chiro",2.53,0.1116,0
"%EPT-H+C",80.6,0,3
"%Ephem-B",85.07,0,3
"%EPT4.5",55.37,0,3
"%EPT6.5",84.5,0,3
"gregTol_%Ephem",78.4,0,3
"gregTol_%PT - Hydropsychidae",47.24,0,3
"gregTol_%Chiro",2.53,0.1116,0
"gregTol_%EPT-H+C",80.6,0,3
"gregTol_%Ephem-B",85.07,0,3
"gregTol_%EPT4.5",59.65,0,3
"gregTol_%EPT6.5",84.3,0,3
"TOTLNTAX",68.38,0,3
"AMPHNTAX",0.01,0.9251,0
"CHIRNTAX",0.69,0.4054,0
"CRUSNTAX",0.1,0.7471,0
"DIPTNTAX",2.01,0.1558,0
"EPHENTAX",84.08,0,3
"EPOTNTAX",92.12,0,3
"EPT_NTAX",93.61,0,3
"HEMINTAX",2.66,0.1031,0
"MITENTAX",3.33,0.068,0
"MOLLNTAX",6.27,0.0123,0
"NOINNTAX",7.75,0.0054,0
"ODONNTAX",5.95,0.0147,0
"OLLENTAX",2.97,0.085,0
"PLECNTAX",44.85,0,1
"TRICNTAX",65.47,0,2
"Genus Total Taxa",68.38,0,3
"Genus EPT Taxa",93.61,0,3
"Elmid",58.38,0,3
"gregTol_Genus Total Taxa",68.38,0,3
"gregTol_Genus EPT Taxa",93.61,0,3
"gregTol_Elmid",58.38,0,3
"FACLNTAX",83.68,0,3
"FACLPIND",21.9,0,2
"FACLPTAX",72.65,0,3
"INTLNTAX",NA,NA,0
"INTLPIND",NA,NA,0
"INTLPTAX",NA,NA,0
"NTOLNTAX",82.55,0,3
"NTOLPIND",30.73,0,2
"NTOLPTAX",64.42,0,3
"STOLNTAX",9.28,0.0023,0
"STOLPIND",19.8,0,1
"STOLPTAX",66.06,0,3
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",14.86,1e-04,0
"TL23PIND",14.82,1e-04,0
"TL23PTAX",14.82,1e-04,0
"TL45NTAX",81.46,0,3
"TL45PIND",30.06,0,2
"TL45PTAX",61.85,0,3
"TL67NTAX",31.22,0,1
"TL67PIND",5.49,0.0191,0
"TL67PTAX",1.74,0.1876,0
"TOLRNTAX",1.38,0.24,0
"TOLRPIND",16.97,0,1
"TOLRPTAX",46,0,2
"WTD_TV",39.03,0,2
"gregTol_FACLNTAX",82.68,0,3
"gregTol_FACLPIND",15.4,1e-04,1
"gregTol_FACLPTAX",65.5,0,3
"gregTol_INTLNTAX",10.58,0.0011,0
