"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",9.57,0.002,0
"AMPHPTAX",36.07,0,2
"CHIRPIND",0.34,0.5574,0
"CHIRPTAX",87.51,0,3
"CRUSPIND",15.99,1e-04,1
"CRUSPTAX",26.3,0,2
"DIPTPIND",0.09,0.7658,0
"DIPTPTAX",31.25,0,2
"EPHEPIND",101.9,0,3
"EPHEPTAX",92.8,0,3
"EPOTPIND",89.25,0,3
"EPOTPTAX",91.15,0,3
"EPT_PIND",91.64,0,3
"EPT_PTAX",94.73,0,3
"HEMIPIND",6.88,0.0087,0
"HEMIPTAX",7.52,0.0061,0
"MITEPIND",1.2,0.2741,0
"MITEPTAX",0.69,0.4075,0
"MOLLPIND",17.73,0,1
"MOLLPTAX",43.71,0,2
"NOINPIND",50.66,0,3
"NOINPTAX",75.8,0,3
"ODONPIND",0.28,0.5983,0
"ODONPTAX",0.34,0.5574,0
"OLLEPIND",28.73,0,2
"OLLEPTAX",42.5,0,3
"PLECPIND",70.74,0,3
"PLECPTAX",65.21,0,3
"TRICPIND",44.42,0,3
"TRICPTAX",30.57,0,2
"%Ephem",101.87,0,3
"%PT - Hydropsychidae",73.41,0,3
"%Chiro",0.34,0.5574,0
"%EPT-H+C",103.42,0,3
"%Ephem-B",94.79,0,3
"%EPT4.5",79.09,0,3
"%EPT6.5",107.76,0,3
"gregTol_%Ephem",101.87,0,3
"gregTol_%PT - Hydropsychidae",73.41,0,3
"gregTol_%Chiro",0.34,0.5574,0
"gregTol_%EPT-H+C",103.42,0,3
"gregTol_%Ephem-B",94.79,0,3
"gregTol_%EPT4.5",81.42,0,3
"gregTol_%EPT6.5",107.61,0,3
"TOTLNTAX",87.3,0,3
"AMPHNTAX",1.16,0.2806,0
"CHIRNTAX",0.62,0.4317,0
"CRUSNTAX",0.61,0.4347,0
"DIPTNTAX",1.78,0.1825,0
"EPHENTAX",103.25,0,3
"EPOTNTAX",102.99,0,3
"EPT_NTAX",107.07,0,3
"HEMINTAX",6.85,0.0088,0
"MITENTAX",1.7,0.192,0
"MOLLNTAX",7.84,0.0051,0
"NOINNTAX",9.65,0.0019,0
"ODONNTAX",4.41,0.0358,0
"OLLENTAX",4.42,0.0356,0
"PLECNTAX",69.88,0,3
"TRICNTAX",65.85,0,3
"Genus Total Taxa",87.3,0,3
"Genus EPT Taxa",107.07,0,3
"Elmid",69.21,0,3
"gregTol_Genus Total Taxa",87.3,0,3
"gregTol_Genus EPT Taxa",107.07,0,3
"gregTol_Elmid",69.21,0,3
"FACLNTAX",102.55,0,3
"FACLPIND",23.2,0,1
"FACLPTAX",93.08,0,3
"INTLNTAX",0.62,0.4317,0
"INTLPIND",0.62,0.4317,0
"INTLPTAX",0.62,0.4317,0
"NTOLNTAX",97.44,0,3
"NTOLPIND",72.21,0,3
