"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",51.56,0,0
"AMPHPTAX",53.51,0,0
"CHIRPIND",170.45,0,3
"CHIRPTAX",237.73,0,3
"CRUSPIND",5.27,0.0217,0
"CRUSPTAX",10.99,9e-04,0
"DIPTPIND",114.94,0,2
"DIPTPTAX",42.55,0,0
"EPHEPIND",149.66,0,3
"EPHEPTAX",71.52,0,2
"EPOTPIND",228.02,0,3
"EPOTPTAX",267.26,0,3
"EPT_PIND",225.92,0,3
"EPT_PTAX",260.05,0,3
"HEMIPIND",NA,NA,0
"HEMIPTAX",NA,NA,0
"MITEPIND",23.97,0,0
"MITEPTAX",31.73,0,0
"MOLLPIND",49.38,0,1
"MOLLPTAX",82.61,0,1
"NOINPIND",160.22,0,3
"NOINPTAX",213.44,0,3
"ODONPIND",5.67,0.0173,0
"ODONPTAX",0.86,0.3531,0
"OLLEPIND",123.34,0,2
"OLLEPTAX",196.75,0,3
"PLECPIND",216.34,0,3
"PLECPTAX",218.18,0,3
"TRICPIND",1.38,0.2393,0
"TRICPTAX",12.62,4e-04,0
"%Ephem",149.67,0,3
"%PT - Hydropsychidae",130.87,0,2
"%Chiro",170.43,0,3
"%EPT-H+C",253.46,0,3
"%Ephem-B",212.76,0,3
"%EPT4.5",290.06,0,3
"%EPT6.5",296.51,0,3
"gregTol_%Ephem",149.67,0,3
"gregTol_%PT - Hydropsychidae",130.87,0,2
"gregTol_%Chiro",170.43,0,3
"gregTol_%EPT-H+C",253.46,0,3
"gregTol_%Ephem-B",212.76,0,3
"gregTol_%EPT4.5",291.37,0,3
"gregTol_%EPT6.5",296.24,0,3
"TOTLNTAX",236.69,0,3
"AMPHNTAX",49.98,0,0
"CHIRNTAX",0.68,0.41,0
"CRUSNTAX",2.94,0.0862,0
"DIPTNTAX",41.79,0,0
"EPHENTAX",193.07,0,3
"EPOTNTAX",308.95,0,3
"EPT_NTAX",310.67,0,3
"HEMINTAX",NA,NA,0
"MITENTAX",24.01,0,0
"MOLLNTAX",57.06,0,1
"NOINNTAX",103.51,0,1
"ODONNTAX",5.19,0.0227,0
"OLLENTAX",68.05,0,1
"PLECNTAX",279.12,0,3
"TRICNTAX",149.43,0,2
"Genus Total Taxa",236.69,0,3
"Genus EPT Taxa",310.67,0,3
"Elmid",36.36,0,0
"gregTol_Genus Total Taxa",236.69,0,3
"gregTol_Genus EPT Taxa",310.67,0,3
"gregTol_Elmid",36.36,0,0
"FACLNTAX",291.74,0,3
"FACLPIND",176.46,0,3
"FACLPTAX",286.02,0,3
"INTLNTAX",61.47,0,0
"INTLPIND",59.94,0,0
"INTLPTAX",54.2,0,0
"NTOLNTAX",301.82,0,3
"NTOLPIND",263.71,0,3
"NTOLPTAX",307.95,0,3
"STOLNTAX",129.88,0,1
"STOLPIND",189.44,0,3
"STOLPTAX",264.22,0,3
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",226.98,0,3
"TL23PIND",193.25,0,3
"TL23PTAX",185.08,0,3
"TL45NTAX",289.44,0,3
"TL45PIND",243.58,0,3
"TL45PTAX",266.83,0,3
"TL67NTAX",11.91,6e-04,0
"TL67PIND",212.5,0,3
"TL67PTAX",272.55,0,3
"TOLRNTAX",131.71,0,2
"TOLRPIND",200.55,0,3
"TOLRPTAX",292.99,0,3
"WTD_TV",276.15,0,3
"gregTol_FACLNTAX",281.64,0,3
"gregTol_FACLPIND",105.02,0,2
"gregTol_FACLPTAX",217.72,0,3
"gregTol_INTLNTAX",203.26,0,2
"gregTol_INTLPIND",171.64,0,3
"gregTol_INTLPTAX",151.81,0,2
"gregTol_NTOLNTAX",301.82,0,3
"gregTol_NTOLPIND",263.71,0,3
"gregTol_NTOLPTAX",307.95,0,3
"gregTol_STOLNTAX",129.88,0,1
"gregTol_STOLPIND",189.44,0,3
"gregTol_STOLPTAX",264.22,0,3
"gregTol_TL01NTAX",50.28,0,0
"gregTol_TL01PIND",49.39,0,0
"gregTol_TL01PTAX",44.34,0,0
"gregTol_TL23NTAX",269.5,0,3
"gregTol_TL23PIND",241.62,0,3
"gregTol_TL23PTAX",242.9,0,3
"gregTol_TL45NTAX",274.92,0,3
"gregTol_TL45PIND",201.3,0,3
"gregTol_TL45PTAX",193.41,0,3
"gregTol_TL67NTAX",11.87,6e-04,0
"gregTol_TL67PIND",212.49,0,3
"gregTol_TL67PTAX",272.59,0,3
"gregTol_TOLRNTAX",131.71,0,2
"gregTol_TOLRPIND",200.55,0,3
"gregTol_TOLRPTAX",292.99,0,3
"gregTol_WTD_TV",277.92,0,3
"Genus HBI",282.93,0,3
"BCGatt2&3",319.63,0,3
"%BCGatt2&3",296.61,0,3
"BCGatt5",105.88,0,1
"%BCGatt5",248.08,0,3
"%BCG_DO_att2&3",256.5,0,3
"%BCG_DO_att5",35.68,0,0
"%BCG_Acidity_att2&3",47.53,0,1
"%BCG_Acidity_att5",59.33,0,2
"%BCG_Alkalinity_att2&3",121.99,0,3
"%BCG_Alkalinity_att5",19.02,0,0
"%BCG_spCond_att2&3",287.86,0,3
"%BCG_spCond_att5",281.62,0,3
"%BCG_Chloride_att2&3",284.59,0,3
"%BCG_Chloride_att5",0.33,0.5641,0
"%BCG_Sulfate_att2&3",125.32,0,2
"%BCG_Sulfate_att5",167.17,0,3
"%BCG_TN.TP_att2&3",265.48,0,3
"%BCG_TN.TP_att5",290.02,0,3
"%BCG_totHab_att2&3",297.38,0,3
"%BCG_totHab_att5",280.26,0,3
"%BCG_RBS_att2&3",188.48,0,3
"%BCG_RBS_att5",179.44,0,3
"%BCG_pctIMP_att2&3",274.66,0,3
"%BCG_pctIMP_att5",278.46,0,3
"gregTol_Genus HBI",284.87,0,3
"gregTol_BCGatt2&3",319.63,0,3
"gregTol_%BCGatt2&3",296.61,0,3
"gregTol_BCGatt5",105.88,0,1
"gregTol_%BCGatt5",248.08,0,3
"gregTol_%BCG_DO_att2&3",256.5,0,3
"gregTol_%BCG_DO_att5",35.68,0,0
"gregTol_%BCG_Acidity_att2&3",47.53,0,1
"gregTol_%BCG_Acidity_att5",59.33,0,2
"gregTol_%BCG_Alkalinity_att2&3",121.99,0,3
"gregTol_%BCG_Alkalinity_att5",19.02,0,0
"gregTol_%BCG_spCond_att2&3",287.86,0,3
"gregTol_%BCG_spCond_att5",281.62,0,3
"gregTol_%BCG_Chloride_att2&3",284.59,0,3
"gregTol_%BCG_Chloride_att5",0.33,0.5641,0
"gregTol_%BCG_Sulfate_att2&3",125.32,0,2
"gregTol_%BCG_Sulfate_att5",167.17,0,3
"gregTol_%BCG_TN.TP_att2&3",265.48,0,3
"gregTol_%BCG_TN.TP_att5",290.02,0,3
"gregTol_%BCG_totHab_att2&3",297.38,0,3
"gregTol_%BCG_totHab_att5",280.26,0,3
"gregTol_%BCG_RBS_att2&3",188.48,0,3
"gregTol_%BCG_RBS_att5",179.44,0,3
"gregTol_%BCG_pctIMP_att2&3",274.66,0,3
"gregTol_%BCG_pctIMP_att5",278.46,0,3
"HPRIME",226.69,0,3
"DOM1PIND",154.08,0,3
"DOM3PIND",192.03,0,3
"DOM5PIND",209.35,0,3
"CHIRDOM1PIND",0.68,0.41,0
"CHIRDOM3PIND",0.68,0.41,0
"CHIRDOM5PIND",0.68,0.41,0
