"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",14.34,2e-04,0
"AMPHPTAX",15.82,1e-04,0
"CHIRPIND",102.22,0,2
"CHIRPTAX",157.02,0,2
"CRUSPIND",15.78,1e-04,0
"CRUSPTAX",21.45,0,0
"DIPTPIND",89.61,0,2
"DIPTPTAX",44.55,0,0
"EPHEPIND",56.72,0,1
"EPHEPTAX",15.93,1e-04,0
"EPOTPIND",50.23,0,1
"EPOTPTAX",77.72,0,1
"EPT_PIND",53.12,0,1
"EPT_PTAX",113.52,0,2
"HEMIPIND",0.73,0.392,0
"HEMIPTAX",0.73,0.392,0
"MITEPIND",12,5e-04,0
"MITEPTAX",2.82,0.0932,0
"MOLLPIND",2.02,0.1557,0
"MOLLPTAX",34.76,0,1
"NOINPIND",24.22,0,0
"NOINPTAX",76.77,0,1
"ODONPIND",12.46,4e-04,0
"ODONPTAX",33.56,0,1
"OLLEPIND",36.95,0,0
"OLLEPTAX",80.9,0,1
"PLECPIND",92.67,0,2
"PLECPTAX",104.39,0,2
"TRICPIND",11.39,7e-04,0
"TRICPTAX",43.29,0,0
"%Ephem",56.68,0,1
"%PT - Hydropsychidae",31.34,0,0
"%Chiro",102.22,0,2
"%EPT-H+C",111.68,0,2
"%Ephem-B",50.36,0,1
"%EPT4.5",161.2,0,2
"%EPT6.5",107.39,0,2
"gregTol_%Ephem",56.68,0,1
"gregTol_%PT - Hydropsychidae",31.34,0,0
"gregTol_%Chiro",102.22,0,2
"gregTol_%EPT-H+C",111.68,0,2
"gregTol_%Ephem-B",50.36,0,1
"gregTol_%EPT4.5",160.97,0,2
"gregTol_%EPT6.5",107.88,0,2
"TOTLNTAX",157.96,0,2
"AMPHNTAX",12.94,3e-04,0
"CHIRNTAX",0.03,0.8527,0
"CRUSNTAX",11.79,6e-04,0
"DIPTNTAX",3.15,0.076,0
"EPHENTAX",86.62,0,1
"EPOTNTAX",186.16,0,2
"EPT_NTAX",215.94,0,3
"HEMINTAX",0.73,0.392,0
"MITENTAX",11.69,6e-04,0
"MOLLNTAX",9.27,0.0023,0
"NOINNTAX",14.78,1e-04,0
"ODONNTAX",15.96,1e-04,0
"OLLENTAX",21.4,0,0
"PLECNTAX",146.22,0,2
"TRICNTAX",186.22,0,2
"Genus Total Taxa",157.96,0,2
"Genus EPT Taxa",215.94,0,3
"Elmid",34.03,0,0
"gregTol_Genus Total Taxa",157.96,0,2
"gregTol_Genus EPT Taxa",215.94,0,3
"gregTol_Elmid",34.03,0,0
"FACLNTAX",212.42,0,3
"FACLPIND",29.92,0,1
"FACLPTAX",160.11,0,2
"INTLNTAX",10.69,0.0011,0
"INTLPIND",11.51,7e-04,0
"INTLPTAX",9.08,0.0026,0
"NTOLNTAX",223.21,0,3
