"METRIC","KW_stat","KW_pval","BoxScore"
"AMPHPIND",33.85,0,0
"AMPHPTAX",38.23,0,0
"CHIRPIND",221.39,0,3
"CHIRPTAX",250.94,0,3
"CRUSPIND",20.53,0,0
"CRUSPTAX",30,0,0
"DIPTPIND",240.21,0,3
"DIPTPTAX",95.56,0,2
"EPHEPIND",241.94,0,3
"EPHEPTAX",92.61,0,2
"EPOTPIND",232.67,0,3
"EPOTPTAX",162.49,0,2
"EPT_PIND",233.07,0,3
"EPT_PTAX",179.95,0,2
"HEMIPIND",0.75,0.3869,0
"HEMIPTAX",0.76,0.3831,0
"MITEPIND",9.76,0.0018,0
"MITEPTAX",3.36,0.0666,0
"MOLLPIND",0.36,0.5467,0
"MOLLPTAX",10.32,0.0013,0
"NOINPIND",29.31,0,0
"NOINPTAX",98.08,0,2
"ODONPIND",1.2,0.2736,0
"ODONPTAX",11.36,8e-04,0
"OLLEPIND",40.58,0,0
"OLLEPTAX",124.79,0,1
"PLECPIND",157.95,0,2
"PLECPTAX",97.1,0,2
"TRICPIND",29.32,0,1
"TRICPTAX",22.15,0,0
"%Ephem",241.98,0,3
"%PT - Hydropsychidae",98.19,0,1
"%Chiro",221.39,0,3
"%EPT-H+C",278.61,0,3
"%Ephem-B",254.06,0,3
"%EPT4.5",265,0,3
"%EPT6.5",193.4,0,2
"gregTol_%Ephem",241.98,0,3
"gregTol_%PT - Hydropsychidae",98.19,0,1
"gregTol_%Chiro",221.39,0,3
"gregTol_%EPT-H+C",278.61,0,3
"gregTol_%Ephem-B",254.06,0,3
"gregTol_%EPT4.5",262.47,0,3
"gregTol_%EPT6.5",193.07,0,2
"TOTLNTAX",253.33,0,3
"AMPHNTAX",33.49,0,0
"CHIRNTAX",0.36,0.5484,0
"CRUSNTAX",19.85,0,0
"DIPTNTAX",14.27,2e-04,0
"EPHENTAX",227.78,0,3
"EPOTNTAX",284.25,0,3
"EPT_NTAX",301.76,0,3
"HEMINTAX",0.76,0.3841,0
"MITENTAX",8.69,0.0032,0
"MOLLNTAX",0.2,0.6547,0
"NOINNTAX",9.8,0.0017,0
"ODONNTAX",1.39,0.2376,0
"OLLENTAX",24.26,0,0
"PLECNTAX",174.23,0,2
"TRICNTAX",182.21,0,2
"Genus Total Taxa",253.33,0,3
"Genus EPT Taxa",301.76,0,3
"Elmid",40.1,0,0
"gregTol_Genus Total Taxa",253.33,0,3
"gregTol_Genus EPT Taxa",301.76,0,3
"gregTol_Elmid",40.1,0,0
"FACLNTAX",300.02,0,3
"FACLPIND",69.8,0,1
"FACLPTAX",218.76,0,2
"INTLNTAX",59.62,0,0
"INTLPIND",62.64,0,0
"INTLPTAX",51.91,0,0
"NTOLNTAX",313.95,0,3
"NTOLPIND",311.48,0,3
"NTOLPTAX",256.53,0,3
"STOLNTAX",33.95,0,0
"STOLPIND",55.65,0,1
"STOLPTAX",190.57,0,3
"TL01NTAX",NA,NA,0
"TL01PIND",NA,NA,0
"TL01PTAX",NA,NA,0
"TL23NTAX",200.5,0,2
"TL23PIND",202.44,0,3
"TL23PTAX",169.88,0,2
"TL45NTAX",273.68,0,3
"TL45PIND",286.18,0,3
"TL45PTAX",159.07,0,2
"TL67NTAX",13.95,2e-04,0
"TL67PIND",237.4,0,3
"TL67PTAX",183.72,0,2
"TOLRNTAX",20.96,0,0
"TOLRPIND",80.8,0,2
"TOLRPTAX",246.61,0,3
"WTD_TV",296.03,0,3
"gregTol_FACLNTAX",269.13,0,3
"gregTol_FACLPIND",16.4,1e-04,0
"gregTol_FACLPTAX",113.71,0,2
"gregTol_INTLNTAX",182.55,0,2
"gregTol_INTLPIND",187.76,0,3
"gregTol_INTLPTAX",152.21,0,2
"gregTol_NTOLNTAX",313.95,0,3
"gregTol_NTOLPIND",311.48,0,3
"gregTol_NTOLPTAX",256.53,0,3
"gregTol_STOLNTAX",33.95,0,0
"gregTol_STOLPIND",55.65,0,1
"gregTol_STOLPTAX",190.57,0,3
"gregTol_TL01NTAX",67.29,0,0
"gregTol_TL01PIND",70.73,0,0
"gregTol_TL01PTAX",58.86,0,0
"gregTol_TL23NTAX",249.95,0,2
"gregTol_TL23PIND",255.52,0,3
"gregTol_TL23PTAX",218.35,0,2
"gregTol_TL45NTAX",248.23,0,2
"gregTol_TL45PIND",269.7,0,3
"gregTol_TL45PTAX",100.25,0,1
"gregTol_TL67NTAX",14.4,1e-04,0
"gregTol_TL67PIND",237.38,0,3
"gregTol_TL67PTAX",182.24,0,2
"gregTol_TOLRNTAX",20.96,0,0
"gregTol_TOLRPIND",80.8,0,2
"gregTol_TOLRPTAX",246.61,0,3
"gregTol_WTD_TV",300.53,0,3
"Genus HBI",294.95,0,3
"BCGatt2&3",332.29,0,3
"%BCGatt2&3",281.96,0,3
"BCGatt5",45.1,0,0
"%BCGatt5",224.04,0,3
"%BCG_DO_att2&3",209.78,0,3
"%BCG_DO_att5",65.61,0,0
"%BCG_Acidity_att2&3",39.77,0,0
"%BCG_Acidity_att5",1.72,0.1901,0
"%BCG_Alkalinity_att2&3",0.01,0.9029,0
"%BCG_Alkalinity_att5",24.09,0,0
"%BCG_spCond_att2&3",206.21,0,3
"%BCG_spCond_att5",148.58,0,2
"%BCG_Chloride_att2&3",219.26,0,3
"%BCG_Chloride_att5",33.59,0,0
"%BCG_Sulfate_att2&3",97.18,0,2
"%BCG_Sulfate_att5",8.69,0.0032,0
"%BCG_TN.TP_att2&3",220.1,0,3
"%BCG_TN.TP_att5",252.94,0,3
"%BCG_totHab_att2&3",271.67,0,3
"%BCG_totHab_att5",161.04,0,2
"%BCG_RBS_att2&3",243.96,0,3
"%BCG_RBS_att5",139.19,0,2
"%BCG_pctIMP_att2&3",241.75,0,3
"%BCG_pctIMP_att5",181.2,0,2
"gregTol_Genus HBI",298.72,0,3
"gregTol_BCGatt2&3",332.29,0,3
"gregTol_%BCGatt2&3",281.96,0,3
"gregTol_BCGatt5",45.1,0,0
"gregTol_%BCGatt5",224.04,0,3
"gregTol_%BCG_DO_att2&3",209.78,0,3
"gregTol_%BCG_DO_att5",65.61,0,0
"gregTol_%BCG_Acidity_att2&3",39.77,0,0
"gregTol_%BCG_Acidity_att5",1.72,0.1901,0
"gregTol_%BCG_Alkalinity_att2&3",0.01,0.9029,0
"gregTol_%BCG_Alkalinity_att5",24.09,0,0
"gregTol_%BCG_spCond_att2&3",206.21,0,3
"gregTol_%BCG_spCond_att5",148.58,0,2
"gregTol_%BCG_Chloride_att2&3",219.26,0,3
"gregTol_%BCG_Chloride_att5",33.59,0,0
